Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,1.0,0.6667,0.0202,0.0392,0.6983,2
6,2.0,0.6667,0.0404,0.0762,0.6983,4
9,3.0,0.6667,0.0606,0.1111,0.6983,6
12,4.0,0.75,0.0909,0.1622,0.6983,9
15,5.0,0.7333,0.1111,0.193,0.6983,11
18,6.0,0.7222,0.1313,0.2222,0.6983,13
21,7.0,0.619,0.1313,0.2167,0.6983,13
24,8.0,0.5833,0.1414,0.2276,0.6983,14
27,9.0,0.5556,0.1515,0.2381,0.6983,15
30,10.0,0.5667,0.1717,0.2636,0.6983,17
45,15.0,0.4889,0.2222,0.3056,0.6983,22
60,20.0,0.5,0.303,0.3774,0.6983,30
75,25.0,0.4933,0.3737,0.4253,0.6983,37
90,30.0,0.5,0.4545,0.4762,0.6983,45
105,35.0,0.4857,0.5152,0.5,0.6983,51
120,40.0,0.475,0.5758,0.5205,0.6983,57
135,45.0,0.4815,0.6566,0.5556,0.6983,65
150,50.0,0.46,0.697,0.5542,0.6983,69
180,60.0,0.4444,0.8081,0.5735,0.6983,80
210,70.0,0.4238,0.899,0.5761,0.6983,89
240,80.0,0.4,0.9697,0.5664,0.6983,96
270,90.0,0.3593,0.9798,0.5257,0.6983,97
300,100.0,0.33,1.0,0.4962,0.6983,99
