Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.1333,0.0247,0.0417,0.5961,2
31,1.94,0.129,0.0494,0.0714,0.5961,4
47,2.94,0.1064,0.0617,0.0781,0.5961,5
63,3.94,0.127,0.0988,0.1111,0.5961,8
79,4.94,0.1139,0.1111,0.1125,0.5961,9
95,5.94,0.1053,0.1235,0.1136,0.5961,10
111,6.94,0.0991,0.1358,0.1146,0.5961,11
127,7.94,0.0945,0.1481,0.1154,0.5961,12
143,8.94,0.0909,0.1605,0.1161,0.5961,13
159,9.94,0.0818,0.1605,0.1083,0.5961,13
239,14.95,0.0711,0.2099,0.1062,0.5961,17
319,19.95,0.069,0.2716,0.11,0.5961,22
399,24.95,0.0652,0.321,0.1083,0.5961,26
479,29.96,0.071,0.4198,0.1214,0.5961,34
559,34.96,0.068,0.4691,0.1187,0.5961,38
639,39.96,0.0689,0.5432,0.1222,0.5961,44
719,44.97,0.0654,0.5802,0.1175,0.5961,47
799,49.97,0.0626,0.6173,0.1136,0.5961,50
959,59.97,0.0605,0.716,0.1115,0.5961,58
1119,69.98,0.0608,0.8395,0.1133,0.5961,68
1279,79.99,0.0563,0.8889,0.1059,0.5961,72
1439,89.99,0.0542,0.963,0.1026,0.5961,78
1599,100.0,0.0507,1.0,0.0964,0.5961,81
