Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,1.0,0.0588,0.1111,0.4685,1
2,1.98,1.0,0.1176,0.2105,0.4685,2
3,2.97,0.6667,0.1176,0.2,0.4685,2
4,3.96,0.5,0.1176,0.1905,0.4685,2
5,4.95,0.4,0.1176,0.1818,0.4685,2
6,5.94,0.3333,0.1176,0.1739,0.4685,2
7,6.93,0.4286,0.1765,0.25,0.4685,3
8,7.92,0.5,0.2353,0.32,0.4685,4
9,8.91,0.4444,0.2353,0.3077,0.4685,4
10,9.9,0.4,0.2353,0.2963,0.4685,4
15,14.85,0.3333,0.2941,0.3125,0.4685,5
20,19.8,0.25,0.2941,0.2703,0.4685,5
25,24.75,0.28,0.4118,0.3333,0.4685,7
30,29.7,0.2333,0.4118,0.2979,0.4685,7
35,34.65,0.2,0.4118,0.2692,0.4685,7
40,39.6,0.225,0.5294,0.3158,0.4685,9
45,44.55,0.2,0.5294,0.2903,0.4685,9
50,49.5,0.18,0.5294,0.2687,0.4685,9
60,59.41,0.15,0.5294,0.2338,0.4685,9
70,69.31,0.1286,0.5294,0.2069,0.4685,9
80,79.21,0.125,0.5882,0.2062,0.4685,10
90,89.11,0.1222,0.6471,0.2056,0.4685,11
101,100.0,0.1683,1.0,0.2881,0.4685,17
