Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
23,0.96,0.1739,0.02,0.0359,0.7629,4
47,1.97,0.2128,0.05,0.081,0.7629,10
71,2.97,0.2535,0.09,0.1328,0.7629,18
95,3.97,0.2211,0.105,0.1424,0.7629,21
119,4.98,0.2269,0.135,0.1693,0.7629,27
143,5.98,0.2378,0.17,0.1983,0.7629,34
167,6.98,0.2515,0.21,0.2289,0.7629,42
191,7.99,0.2513,0.24,0.2455,0.7629,48
215,8.99,0.2465,0.265,0.2554,0.7629,53
239,10.0,0.2594,0.31,0.2825,0.7629,62
358,14.97,0.2486,0.445,0.319,0.7629,89
478,19.99,0.2301,0.55,0.3245,0.7629,110
597,24.97,0.201,0.6,0.3011,0.7629,120
717,29.99,0.1799,0.645,0.2814,0.7629,129
836,34.96,0.1651,0.69,0.2664,0.7629,138
956,39.98,0.1517,0.725,0.2509,0.7629,145
1075,44.96,0.147,0.79,0.2478,0.7629,158
1195,49.98,0.1397,0.835,0.2394,0.7629,167
1434,59.97,0.1255,0.9,0.2203,0.7629,180
1673,69.97,0.1136,0.95,0.2029,0.7629,190
1912,79.97,0.1025,0.98,0.1856,0.7629,196
2151,89.96,0.0925,0.995,0.1693,0.7629,199
2391,100.0,0.0836,1.0,0.1544,0.7629,200
