Original_Index,Anomaly_Score,Detection_Result,True_Label
0,2.724206541790869,1,0
1,2.636989324850061,1,0
2,2.8362103802363205,1,0
3,2.5585480089677066,1,0
4,2.9327416602648766,1,0
5,2.6331448296605555,1,0
6,5.1004871516020645,1,0
7,2.8888461000077994,1,0
8,3.031078979649116,1,0
9,2.92313195832093,1,0
10,2.838545218198667,1,0
11,2.870194534267642,1,0
12,2.730244787852353,1,0
13,2.5041887141598123,1,0
14,2.5531969418124585,1,0
15,2.9260964499416233,1,0
16,2.5089211070194883,1,0
17,2.5844099166049155,1,0
18,2.832690743600794,1,0
19,2.88377526650777,1,0
20,2.912000482069298,1,0
21,2.8347413354368722,1,0
22,2.7820216766217145,1,0
23,2.982325648223971,1,0
24,2.6613500626241766,1,0
25,2.8343735691677767,1,0
26,2.97286867438443,1,0
27,3.6664150748392186,1,0
28,2.7944817902191743,1,0
29,2.8620283952276977,1,0
30,2.963927596479604,1,0
31,2.775861556283382,1,0
32,3.020861013407529,1,0
33,2.860018902821828,1,0
34,2.637462578778008,1,0
35,2.6735138228266173,1,0
36,2.741169515452614,1,0
37,2.960926186374435,1,0
38,2.856995096476463,1,0
39,3.4499240350793454,1,0
40,2.660869769484818,1,0
41,2.8163982908165206,1,0
42,2.843311144246807,1,0
43,3.012801892609544,1,0
44,8.144089404378404,1,0
45,2.6237518662263892,1,0
46,4.027136642711545,1,0
47,2.838510828881236,1,0
48,2.878606842791697,1,0
49,2.040354971245238,1,0
50,2.848991658679439,1,0
51,2.5226095913554945,1,0
52,2.7898719393848106,1,0
53,2.6447529272053614,1,0
54,2.9141448390172973,1,0
55,3.168869329294914,1,0
56,2.6094761030911564,1,0
57,2.8454569176580065,1,0
58,3.257686891483261,1,0
59,2.7640192733936573,1,0
60,2.8581622712081955,1,0
61,3.0021734578015287,1,0
62,2.90443931059309,1,0
63,2.4730315432152787,1,0
64,2.6023231193781364,1,0
65,7.14925397717944,1,0
66,2.636831983855395,1,0
67,3.2960629175699245,1,0
68,2.7874127486011537,1,0
69,3.7747575959905726,1,0
70,3.199934249480827,1,0
71,3.221232078757315,1,0
72,2.927786840704722,1,0
73,2.685293573729556,1,0
74,9.804533993968386,1,0
75,2.950782415768997,1,0
76,2.744821822568224,1,0
77,2.976532195027544,1,0
78,2.7217832575125382,1,0
79,2.9662383608157037,1,0
80,2.732327476199817,1,0
81,2.8984082752101816,1,0
82,3.0082169118038387,1,0
83,3.213442088014404,1,0
84,2.488588079632138,1,0
85,7.282359665040905,1,0
86,2.6237518662263892,1,0
87,2.8153127789371246,1,0
88,2.8517501526478726,1,0
89,2.8565407722580662,1,0
90,2.658208490464379,1,0
91,2.825329056399118,1,0
92,2.8294518545944767,1,0
93,2.9463898427063064,1,0
94,3.2987465970640555,1,0
95,3.1384239941416316,1,0
96,2.664429314326137,1,0
97,2.6748593194258548,1,0
98,2.6421262243840236,1,0
99,2.4928409221514287,1,0
100,3.5162979148936557,1,0
101,2.744821822568224,1,0
102,2.863238396050482,1,0
103,3.079647738663623,1,0
