Original_Index,Anomaly_Score,Detection_Result,True_Label
0,2.83927709906699,1,0
1,2.8584642561300218,1,0
2,2.6427090503080786,1,0
3,2.8296347319297097,1,0
4,2.4991954267613927,1,0
5,2.7454254920060404,1,0
6,2.5599707044371387,1,0
7,2.499195426761393,1,0
8,3.1633578229695924,1,0
9,2.955179598123827,1,0
10,2.9467391493465835,1,0
11,2.8284271247461903,1,0
12,2.9467391493465835,1,0
13,2.594819156929304,1,0
14,2.1064885077177062,1,0
15,2.449489742783178,1,0
16,2.8284271247461903,1,0
17,2.8584642561300213,1,0
18,2.1338814417807708,1,0
19,2.4550622934197968,1,0
20,2.484113102009036,1,0
21,2.7454254920060404,1,0
22,2.8476873877388114,1,0
23,2.8284271247461903,1,0
24,2.353159818660137,1,0
25,2.839277099066991,1,0
26,2.7454254920060404,1,0
27,2.0153149742127816,1,0
28,2.449489742783178,1,0
29,2.455062293419797,1,0
30,2.0271466296957135,1,0
31,2.9709861415518435,1,0
32,2.060577050523725,1,0
33,2.060577050523726,1,0
34,2.3106735736602824,1,0
35,2.4991954267613923,1,0
36,2.833254465199283,1,0
37,2.83927709906699,1,0
38,2.5371822625004237,1,0
39,2.823943159007167,1,0
40,2.8584642561300213,1,0
41,1.681296717802396,1,0
42,2.0422580403986554,1,0
43,2.0153149742127816,1,0
44,2.042258040398656,1,0
45,2.516903472722582,1,0
46,2.1064885077177062,1,0
47,2.164086785295781,1,0
48,2.4620102447565615,1,0
49,2.4991954267613923,1,0
50,2.232467496869827,1,0
51,1.5280062470431834,1,0
52,2.642709050308079,1,0
53,2.5852024319754587,1,0
54,2.4991954267613914,1,0
55,2.0068210843450074,1,0
56,2.397743800448054,1,0
57,2.471704565332736,1,0
58,1.993653672357208,1,0
59,2.4717045653327365,1,0
60,2.4620102447565624,1,0
61,1.4357905297383267,1,0
62,2.0153149742127816,1,0
63,3.1665961006373506,1,0
64,2.444310734195507,1,0
65,2.4841131020090357,1,0
66,2.858464256130022,1,0
67,2.449489742783178,1,0
68,2.9467391493465835,1,0
69,1.5280062470431834,1,0
70,2.0820189939102374,1,0
71,2.449489742783178,1,0
72,2.854723196498468,1,0
73,2.0068210843450074,1,0
74,2.006821084345008,1,0
75,2.0422580403986554,1,0
76,2.006821084345008,1,0
77,1.4733695746732918,1,0
78,2.0017074501891927,1,0
79,2.232467496869827,1,0
80,2.3106735736602824,1,0
