Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.83,0.0,0.0,0.0,0.78,0
2,1.67,0.5,0.05,0.0909,0.78,1
3,2.5,0.6667,0.1,0.1739,0.78,2
4,3.33,0.5,0.1,0.1667,0.78,2
6,5.0,0.5,0.15,0.2308,0.78,3
7,5.83,0.4286,0.15,0.2222,0.78,3
8,6.67,0.375,0.15,0.2143,0.78,3
9,7.5,0.3333,0.15,0.2069,0.78,3
10,8.33,0.4,0.2,0.2667,0.78,4
12,10.0,0.3333,0.2,0.25,0.78,4
18,15.0,0.2778,0.25,0.2632,0.78,5
24,20.0,0.3333,0.4,0.3636,0.78,8
30,25.0,0.3,0.45,0.36,0.78,9
36,30.0,0.3333,0.6,0.4286,0.78,12
42,35.0,0.2857,0.6,0.3871,0.78,12
48,40.0,0.2917,0.7,0.4118,0.78,14
54,45.0,0.3333,0.9,0.4865,0.78,18
60,50.0,0.3167,0.95,0.475,0.78,19
72,60.0,0.2778,1.0,0.4348,0.78,20
84,70.0,0.2381,1.0,0.3846,0.78,20
96,80.0,0.2083,1.0,0.3448,0.78,20
108,90.0,0.1852,1.0,0.3125,0.78,20
120,100.0,0.1667,1.0,0.2857,0.78,20
