Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.5,0.05,0.0909,0.8792,2
9,1.84,0.7778,0.175,0.2857,0.8792,7
14,2.86,0.7857,0.275,0.4074,0.8792,11
19,3.88,0.6842,0.325,0.4407,0.8792,13
24,4.9,0.625,0.375,0.4688,0.8792,15
29,5.92,0.5862,0.425,0.4928,0.8792,17
34,6.94,0.5588,0.475,0.5135,0.8792,19
39,7.96,0.4872,0.475,0.481,0.8792,19
44,8.98,0.4773,0.525,0.5,0.8792,21
49,10.0,0.449,0.55,0.4944,0.8792,22
73,14.9,0.3699,0.675,0.4779,0.8792,27
98,20.0,0.3163,0.775,0.4493,0.8792,31
122,24.9,0.2787,0.85,0.4198,0.8792,34
147,30.0,0.2449,0.9,0.385,0.8792,36
171,34.9,0.2105,0.9,0.3412,0.8792,36
196,40.0,0.1837,0.9,0.3051,0.8792,36
220,44.9,0.1636,0.9,0.2769,0.8792,36
245,50.0,0.151,0.925,0.2596,0.8792,37
294,60.0,0.1293,0.95,0.2275,0.8792,38
343,70.0,0.1137,0.975,0.2037,0.8792,39
392,80.0,0.0995,0.975,0.1806,0.8792,39
441,90.0,0.0884,0.975,0.1622,0.8792,39
490,100.0,0.0816,1.0,0.1509,0.8792,40
