Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.3333,0.0441,0.0779,0.6213,16
97,1.98,0.2371,0.0634,0.1,0.6213,23
146,2.98,0.2192,0.0882,0.1257,0.6213,32
195,3.98,0.2154,0.1157,0.1505,0.6213,42
244,4.98,0.2008,0.135,0.1614,0.6213,49
293,5.98,0.1843,0.1488,0.1646,0.6213,54
342,6.98,0.1696,0.1598,0.1645,0.6213,58
391,7.98,0.1714,0.1846,0.1777,0.6213,67
440,8.98,0.1705,0.2066,0.1868,0.6213,75
489,9.98,0.1575,0.2121,0.1808,0.6213,77
734,14.99,0.1526,0.3085,0.2042,0.6213,112
979,19.99,0.1399,0.3774,0.2042,0.6213,137
1224,24.99,0.134,0.4518,0.2067,0.6213,164
1469,29.99,0.1246,0.5041,0.1998,0.6213,183
1714,34.99,0.1202,0.5675,0.1984,0.6213,206
1959,40.0,0.1082,0.584,0.1826,0.6213,212
2204,45.0,0.1016,0.6171,0.1745,0.6213,224
2449,50.0,0.0951,0.6419,0.1657,0.6213,233
2938,59.98,0.0868,0.7025,0.1545,0.6213,255
3428,69.99,0.084,0.7934,0.1519,0.6213,288
3918,79.99,0.0784,0.8457,0.1434,0.6213,307
4408,90.0,0.0771,0.9366,0.1425,0.6213,340
4898,100.0,0.0741,1.0,0.138,0.6213,363
