Original_Index,Anomaly_Score,Detection_Result,True_Label
0,2.5232400593601874,1,0
1,2.564004792268732,1,0
2,2.6139259043627288,1,0
3,2.723477468640271,1,0
4,2.6932953727550397,1,0
5,2.028335244128834,0,0
6,2.2564405738118865,0,0
7,2.411968958573081,0,0
8,2.3876615271586012,0,0
9,1.9630800769312364,0,0
10,2.4097996201428367,0,0
11,2.0925223045803523,0,0
12,1.9478808995172538,0,0
13,3.3535219985678806,1,0
14,3.0475231258962974,1,0
15,2.19749266531292,0,0
16,2.1608471540665897,0,0
17,2.1141352344201882,0,0
18,2.501841446449145,1,0
19,2.4335688549640895,0,0
20,2.4117758766336497,0,0
21,2.7336169469122344,1,0
22,2.1906837611981373,0,0
23,2.172511413760298,0,0
24,2.3507378510677306,0,0
25,3.8119173619102544,1,0
26,2.1262541570523266,0,0
27,2.3809343077393708,0,0
28,2.2085925492923755,0,0
29,1.975597904166626,0,0
30,2.4097996201428367,0,0
31,2.1032578266113506,0,0
32,2.260338551829988,0,0
33,2.8808907665513304,1,0
34,1.9703633822793125,0,0
35,2.0040652484044843,0,0
36,2.360055032204933,0,0
37,1.9069228698918268,0,0
38,2.333257968219732,0,0
39,3.1475541764058512,1,0
40,2.234182062899971,0,0
41,2.872659738635161,1,0
42,2.285777593385406,0,0
43,2.8598811702823306,1,0
44,2.2679063069973244,0,0
45,2.9277382631388544,1,0
46,2.500856435504426,1,0
47,2.0221860796695745,0,0
48,2.0235035574621714,0,0
49,2.184304276172916,0,0
50,3.145735563593264,1,0
51,2.164222471173495,0,0
52,2.3780027110835595,0,0
53,2.0913035559517845,0,0
54,2.152863720960469,0,0
55,2.2277699803546773,0,0
56,1.9902701731271375,0,0
57,1.9112138602717301,0,0
58,2.0222349882604975,0,0
59,4.652500923111935,1,0
60,3.7365752820322684,1,0
61,3.245008938680281,1,0
62,2.9051887601812876,1,0
63,3.072179300342208,1,0
64,2.9200982377021125,1,0
65,2.8013164397774757,1,0
66,3.316569711814928,1,0
67,2.4203158379755685,0,0
68,3.748494947724681,1,0
69,5.055309480385395,1,0
70,2.9818114203131536,1,0
71,3.7007590621480917,1,0
72,2.6896375781335986,1,0
73,4.503644846249136,1,0
74,3.021563114089763,1,0
75,2.8270044670531056,1,0
76,2.7313239918381744,1,0
77,2.964291882960696,1,0
78,4.203648233805711,1,0
79,3.0576805352682594,1,0
80,2.56597180171252,1,0
81,2.195393838713448,0,0
82,2.7384239936662587,1,0
83,2.828406284504104,1,0
84,3.095404230283627,1,0
85,2.3785899631367755,0,0
86,2.3410461769588307,0,0
87,3.0353445929405893,1,0
88,2.2293371160137156,0,0
89,2.3976251607465024,0,0
90,2.69274477971458,1,0
91,2.403777132549006,0,0
92,2.812547685028224,1,0
93,2.477380077823254,1,0
94,2.6905862408944676,1,0
95,5.115035895851229,1,0
96,4.329782672488528,1,0
97,2.329276412609084,0,0
98,2.9716327440785437,1,0
99,3.804794419665608,1,0
100,2.4167998641558066,0,0
101,2.414862270486744,0,0
102,2.578554297027536,1,0
103,2.343597891920667,0,0
104,2.2377229709390236,0,0
105,3.033441589474732,1,0
106,2.150925926271414,0,0
107,2.5330557022313553,1,0
108,2.329276412609084,0,0
109,3.0867780971026444,1,0
110,4.696647880234007,1,0
111,2.275661498694619,0,0
112,3.3729057649753136,1,0
113,2.5470012121941097,1,0
114,2.523171830255637,1,0
115,3.8012193604087234,1,0
116,2.1983343493479968,0,0
117,2.4294410830713455,0,0
118,3.3274509631725486,1,0
119,2.5299787195303387,1,0
120,2.7104308139368283,1,0
121,5.4347971455779485,1,0
122,3.6384037885305394,1,0
123,3.776648685771493,1,0
124,3.8678492151832518,1,0
125,2.1304717474643957,0,0
126,2.908017191200831,1,0
127,3.2916851663618836,1,0
128,2.3413928432897526,0,0
129,3.084180684598482,1,0
130,2.2605910475692457,0,1
131,2.4648390618129126,1,1
132,3.384610666267164,1,1
133,2.9348088407609505,1,1
134,3.7460604399636583,1,1
135,2.829149072433244,1,1
136,3.0086793519643384,1,1
137,2.6298781819295063,1,1
138,2.2385780660564873,0,1
139,3.2163466554441817,1,1
140,4.5851898072733945,1,1
141,3.6732785856592765,1,1
142,2.7748888547201043,1,1
143,2.812046162516562,1,1
144,2.838346173225262,1,1
145,2.6409639180731754,1,1
146,2.462186986436378,1,1
147,2.572742870873269,1,1
148,2.487672945404673,1,1
149,2.406651663200995,0,1
150,2.581925008908092,1,1
151,3.2330589961005956,1,1
152,2.8285096238672334,1,1
153,2.8766963790395033,1,1
154,2.5391428728143763,1,1
155,2.952733663863543,1,1
156,2.1878470058151773,0,1
157,2.7206340370579443,1,1
158,2.5806835173873246,1,1
159,2.759222060746115,1,1
