Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.62,0.0,0.0,0.0,0.6133,0
3,1.88,0.0,0.0,0.0,0.6133,0
4,2.5,0.0,0.0,0.0,0.6133,0
6,3.75,0.1667,0.0333,0.0556,0.6133,1
8,5.0,0.125,0.0333,0.0526,0.6133,1
9,5.62,0.1111,0.0333,0.0513,0.6133,1
11,6.88,0.0909,0.0333,0.0488,0.6133,1
12,7.5,0.0833,0.0333,0.0476,0.6133,1
14,8.75,0.0714,0.0333,0.0455,0.6133,1
16,10.0,0.125,0.0667,0.087,0.6133,2
24,15.0,0.1667,0.1333,0.1481,0.6133,4
32,20.0,0.1875,0.2,0.1935,0.6133,6
40,25.0,0.15,0.2,0.1714,0.6133,6
48,30.0,0.1875,0.3,0.2308,0.6133,9
56,35.0,0.2143,0.4,0.2791,0.6133,12
64,40.0,0.25,0.5333,0.3404,0.6133,16
72,45.0,0.2361,0.5667,0.3333,0.6133,17
80,50.0,0.2625,0.7,0.3818,0.6133,21
96,60.0,0.2708,0.8667,0.4127,0.6133,26
112,70.0,0.2411,0.9,0.3803,0.6133,27
128,80.0,0.2266,0.9667,0.3671,0.6133,29
144,90.0,0.2083,1.0,0.3448,0.6133,30
160,100.0,0.1875,1.0,0.3158,0.6133,30
