Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.0952,0.0119,0.0212,0.5461,6
127,1.99,0.1181,0.0298,0.0475,0.5461,15
191,3.0,0.1204,0.0456,0.0662,0.5461,23
254,3.99,0.1063,0.0536,0.0712,0.5461,27
318,4.99,0.1101,0.0694,0.0852,0.5461,35
382,5.99,0.1073,0.0813,0.0926,0.5461,41
446,7.0,0.1054,0.0933,0.0989,0.5461,47
509,7.99,0.1041,0.1052,0.1046,0.5461,53
573,8.99,0.0995,0.1131,0.1058,0.5461,57
637,10.0,0.0973,0.123,0.1087,0.5461,62
955,14.99,0.1026,0.1944,0.1343,0.5461,98
1274,19.99,0.1013,0.256,0.1451,0.5461,129
1593,25.0,0.096,0.3036,0.1459,0.5461,153
1911,29.99,0.0937,0.3552,0.1482,0.5461,179
2230,35.0,0.0928,0.4107,0.1514,0.5461,207
2548,39.99,0.0907,0.4583,0.1514,0.5461,231
2867,44.99,0.0882,0.502,0.1501,0.5461,253
3186,50.0,0.0885,0.5595,0.1528,0.5461,282
3823,60.0,0.0871,0.6607,0.1539,0.5461,333
4460,69.99,0.0839,0.7421,0.1507,0.5461,374
5097,79.99,0.0822,0.8313,0.1496,0.5461,419
5734,89.99,0.0797,0.9067,0.1465,0.5461,457
6372,100.0,0.0791,1.0,0.1466,0.5461,504
