Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.85,1.0,0.0976,0.1778,0.9953,4
9,1.92,1.0,0.2195,0.36,0.9953,9
14,2.99,1.0,0.3415,0.5091,0.9953,14
18,3.84,0.9444,0.4146,0.5763,0.9953,17
23,4.9,0.9565,0.5366,0.6875,0.9953,22
28,5.97,0.9286,0.6341,0.7536,0.9953,26
32,6.82,0.9375,0.7317,0.8219,0.9953,30
37,7.89,0.9189,0.8293,0.8718,0.9953,34
42,8.96,0.8571,0.878,0.8675,0.9953,36
46,9.81,0.8478,0.9512,0.8966,0.9953,39
70,14.93,0.5857,1.0,0.7387,0.9953,41
93,19.83,0.4409,1.0,0.6119,0.9953,41
117,24.95,0.3504,1.0,0.519,0.9953,41
140,29.85,0.2929,1.0,0.453,0.9953,41
164,34.97,0.25,1.0,0.4,0.9953,41
187,39.87,0.2193,1.0,0.3596,0.9953,41
211,44.99,0.1943,1.0,0.3254,0.9953,41
234,49.89,0.1752,1.0,0.2982,0.9953,41
281,59.91,0.1459,1.0,0.2547,0.9953,41
328,69.94,0.125,1.0,0.2222,0.9953,41
375,79.96,0.1093,1.0,0.1971,0.9953,41
422,89.98,0.0972,1.0,0.1771,0.9953,41
469,100.0,0.0874,1.0,0.1608,0.9953,41
