Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
17,0.98,0.5882,0.0746,0.1325,0.5,10
34,1.97,0.2941,0.0746,0.119,0.5,10
51,2.95,0.1961,0.0746,0.1081,0.5,10
69,3.99,0.1449,0.0746,0.0985,0.5,10
86,4.98,0.1163,0.0746,0.0909,0.5,10
103,5.96,0.0971,0.0746,0.0844,0.5,10
120,6.94,0.0833,0.0746,0.0787,0.5,10
138,7.99,0.0725,0.0746,0.0735,0.5,10
155,8.97,0.0645,0.0746,0.0692,0.5,10
172,9.95,0.0581,0.0746,0.0654,0.5,10
259,14.99,0.0386,0.0746,0.0509,0.5,10
345,19.97,0.029,0.0746,0.0418,0.5,10
432,25.0,0.0231,0.0746,0.0353,0.5,10
518,29.98,0.0193,0.0746,0.0307,0.5,10
604,34.95,0.0166,0.0746,0.0271,0.5,10
691,39.99,0.0145,0.0746,0.0242,0.5,10
777,44.97,0.0129,0.0746,0.022,0.5,10
864,50.0,0.0116,0.0746,0.02,0.5,10
1036,59.95,0.0097,0.0746,0.0171,0.5,10
1209,69.97,0.0223,0.2015,0.0402,0.5,27
1382,79.98,0.0427,0.4403,0.0778,0.5,59
1555,89.99,0.0521,0.6045,0.0959,0.5,81
1728,100.0,0.0775,1.0,0.1439,0.5,134
