Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
14,0.95,0.9286,0.0207,0.0404,0.6244,13
29,1.97,0.7241,0.0334,0.0638,0.6244,21
44,2.99,0.7955,0.0556,0.104,0.6244,35
58,3.94,0.7586,0.07,0.1281,0.6244,44
73,4.96,0.726,0.0843,0.151,0.6244,53
88,5.97,0.7386,0.1033,0.1813,0.6244,65
103,6.99,0.7184,0.1176,0.2022,0.6244,74
117,7.94,0.7265,0.1351,0.2279,0.6244,85
132,8.96,0.7273,0.1526,0.2523,0.6244,96
147,9.98,0.7143,0.1669,0.2706,0.6244,105
220,14.94,0.6727,0.2353,0.3486,0.6244,148
294,19.96,0.602,0.2814,0.3835,0.6244,177
368,24.98,0.5652,0.3307,0.4173,0.6244,208
441,29.94,0.5442,0.3816,0.4486,0.6244,240
515,34.96,0.534,0.4372,0.4808,0.6244,275
589,39.99,0.5195,0.4865,0.5025,0.6244,306
662,44.94,0.5045,0.531,0.5174,0.6244,334
736,49.97,0.5095,0.5962,0.5495,0.6244,375
883,59.95,0.4994,0.7011,0.5833,0.6244,441
1031,69.99,0.4743,0.7774,0.5892,0.6244,489
1178,79.97,0.4652,0.8712,0.6065,0.6244,548
1325,89.95,0.4475,0.9428,0.607,0.6244,593
1473,100.0,0.427,1.0,0.5985,0.6244,629
