Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.5561446644885374,1,0
1,0.5376650546653504,0,0
2,0.5376237877122443,0,0
3,0.5440264315016834,0,0
4,0.5447720065807977,0,0
5,0.5756491007650274,1,0
6,0.5557406453705594,1,0
7,0.5394863578525972,0,0
8,0.5392711980701094,0,0
9,0.5408373752454811,0,0
10,0.5448349348723497,0,0
11,0.5406145439206576,0,0
12,0.5411465147157387,0,1
13,0.5375556445753923,0,0
14,0.5371747910567376,0,0
15,0.5392861350240754,0,0
16,0.5357414236390037,0,0
17,0.5462964848064688,0,1
18,0.552262544439573,1,0
19,0.5430431178860582,0,0
20,0.5390817938366728,0,0
21,0.5454884909812305,0,0
22,0.5445536346192029,0,0
23,0.5356195444491665,0,0
24,0.5475313893832116,0,0
25,0.5463630044676605,0,0
26,0.5379091025132486,0,0
27,0.5385554574916511,0,0
28,0.5422736109604546,0,0
29,0.5429982907024395,0,0
30,0.5380058412301576,0,0
31,0.5489604179589523,0,0
32,0.5445608376294618,0,0
33,0.564242451305512,1,0
34,0.5336250447689442,0,0
35,0.5366938936227763,0,0
36,0.5332734271725483,0,0
37,0.5374844987405064,0,0
38,0.5407104131736253,0,0
39,0.5361515622869867,0,0
40,0.5407795846121204,0,0
41,0.543367813289493,0,0
42,0.5387139017339662,0,0
43,0.5557266687991411,1,0
44,0.5389878115881848,0,0
45,0.5338872635196196,0,0
46,0.5494971983890077,0,0
47,0.5407953555751768,0,0
48,0.556309014949142,1,0
49,0.541982243932658,0,0
50,0.5369422264775923,0,0
51,0.5380114077131258,0,0
52,0.5388955893548656,0,0
53,0.5360122714873949,0,0
54,0.556968242295724,1,0
55,0.5503596338856602,0,0
56,0.5462740926372603,0,0
57,0.5367805610885364,0,0
58,0.537763262225034,0,0
59,0.5529314018885105,1,0
60,0.535331112423984,0,0
61,0.5525258318944113,1,0
62,0.5439334404560922,0,0
63,0.5393613871673847,0,0
64,0.5410704306727296,0,0
65,0.5336066796684423,0,0
66,0.5516778053420505,1,0
67,0.5434772961376599,0,0
68,0.5345610081067752,0,0
69,0.5496500155583887,0,0
70,0.5449596586853163,0,1
71,0.5415694528207274,0,0
72,0.5643482429795622,1,0
73,0.5447387563802978,0,0
74,0.5359603030804039,0,0
75,0.546748904061896,0,0
76,0.5376843848874265,0,0
77,0.5358617409731992,0,0
78,0.5339765841139077,0,0
79,0.537218190271787,0,0
80,0.534076388297719,0,0
81,0.5421866084275393,0,0
82,0.5388284813580966,0,0
83,0.5658922358820843,1,0
84,0.5396962352171417,0,0
85,0.5323956825854209,0,0
86,0.53886970571001,0,0
87,0.5432607580703267,0,0
88,0.5480890326904557,0,0
89,0.5368820185496973,0,0
90,0.5402066149847818,0,0
91,0.5404622466273282,0,0
92,0.5541881965109139,1,0
93,0.5517143934136157,1,0
94,0.5701504828800901,1,0
95,0.5462565783267205,0,0
96,0.5534795843849742,1,0
97,0.538631947979083,0,0
98,0.5365245869564962,0,0
99,0.5376179904191851,0,0
100,0.5527017925654454,1,0
101,0.5481182323737774,0,0
102,0.5396729877989972,0,0
103,0.5400774447748565,0,0
104,0.5462450992042188,0,0
105,0.5358822090810145,0,0
106,0.5392704409374411,0,1
107,0.5624411210083732,1,1
108,0.5543988444772929,1,0
109,0.5525779504846291,1,0
110,0.5360111436956713,0,0
111,0.5347325239882708,0,0
112,0.5361413711906512,0,0
113,0.5421141436690068,0,0
114,0.5425794475077872,0,0
115,0.5427588595165578,0,0
116,0.5467840935374357,0,0
117,0.5439877755453126,0,0
118,0.5383087559438438,0,0
119,0.5659074062254015,1,0
120,0.5559789542212272,1,0
121,0.5467623438274865,0,0
122,0.5454416526042368,0,0
123,0.5359096567622149,0,0
124,0.5387036849771099,0,0
125,0.5372634072584797,0,0
126,0.5422536745938936,0,0
127,0.5418760919099416,0,0
128,0.544417310282529,0,0
129,0.5445634483086654,0,0
130,0.5385958096155535,0,0
131,0.543852208224387,0,0
132,0.548118578076658,0,0
133,0.5346462095146266,0,0
134,0.5507899281784404,1,1
135,0.5428696061702437,0,0
136,0.5411139845874909,0,0
137,0.5607556262472411,1,0
138,0.5487019083352496,0,0
139,0.5404049728813286,0,0
140,0.5427648649570721,0,0
141,0.5371696978107235,0,0
142,0.5361800717793558,0,0
143,0.5572974417627375,1,0
144,0.5505084083169806,0,0
145,0.543725881734663,0,0
146,0.5381523210835295,0,0
147,0.5484907352222678,0,0
148,0.5349259632984177,0,0
149,0.5383861370121894,0,0
150,0.5430086356765021,0,0
151,0.5656685759710662,1,0
152,0.5522117704474628,1,0
153,0.5448240047601783,0,0
154,0.5422681531667762,0,0
155,0.5396807505953988,0,0
156,0.5428440635552264,0,0
157,0.5426348078041124,0,0
158,0.544058515252407,0,0
159,0.5478599475199616,0,0
160,0.536471602769587,0,0
161,0.5647258106360641,1,0
162,0.5373387279794091,0,0
163,0.5400575772194633,0,0
164,0.5451196939540424,0,0
165,0.5424123600562262,0,0
166,0.5411269873817571,0,0
167,0.5359696093132426,0,0
168,0.548837541697625,0,0
169,0.5468220936615804,0,0
170,0.5472676065170305,0,0
171,0.5406320397673816,0,0
172,0.537092337405236,0,0
173,0.5349320912653983,0,0
174,0.5493301021488571,0,0
175,0.5401975572594784,0,0
176,0.5419260614262313,0,0
177,0.5431686296397416,0,0
178,0.5551570102227531,1,0
179,0.539351146430663,0,0
180,0.537019483858279,0,0
181,0.5331102608005281,0,0
182,0.5538017420803958,1,0
183,0.5424976139782154,0,0
184,0.5555003532670335,1,0
185,0.5414567992255918,0,0
186,0.5488573129003679,0,0
187,0.5445248956808941,0,0
188,0.536569448208476,0,0
189,0.5499536405927452,0,0
190,0.5375068743071527,0,0
191,0.532778017510562,0,0
192,0.5356765605582575,0,0
193,0.543257118329355,0,0
194,0.5397052480682789,0,0
195,0.5674553769601444,1,0
196,0.558277756659339,1,0
197,0.5457164816756457,0,0
198,0.5447457415878022,0,0
199,0.5357243123978667,0,0
200,0.5317912330802161,0,0
201,0.5438235092285677,0,0
202,0.5345765554380015,0,0
203,0.5353315597717649,0,0
204,0.5409586004732722,0,0
205,0.5379115760035973,0,0
206,0.5374435067739481,0,0
207,0.5532942839277621,1,0
208,0.5469219812235173,0,0
209,0.5540157818939745,1,0
210,0.5663745798444768,1,0
211,0.5354288678912184,0,1
212,0.5565547152959595,1,0
213,0.5685406501367454,1,0
214,0.537663956937547,0,0
215,0.5445576846395366,0,0
216,0.5360762464679277,0,1
217,0.5426637774821707,0,0
218,0.5358859196621673,0,0
219,0.5325664779722223,0,0
220,0.5657189099932977,1,0
221,0.5389949694885794,0,0
222,0.5373459593211024,0,0
223,0.5471929440625497,0,0
224,0.555150175645052,1,0
225,0.5407401986649746,0,0
226,0.5506775870843212,1,0
227,0.544210685010578,0,0
228,0.5431452476742682,0,0
229,0.5407957496867493,0,0
230,0.5384577468992233,0,0
231,0.5408052861923868,0,1
232,0.5344763529018023,0,0
233,0.5407146132345346,0,0
234,0.5425484220893076,0,0
235,0.541754733018086,0,0
236,0.5460913731445918,0,0
237,0.5379984531933414,0,0
238,0.5501467323406148,0,0
239,0.5378049972389913,0,0
240,0.5353768980904837,0,0
241,0.5371410816042992,0,0
242,0.5397184197953241,0,0
243,0.5380332377096729,0,0
244,0.5446149340883034,0,0
245,0.537904623271362,0,0
246,0.5386807496759384,0,0
247,0.5381220440364057,0,0
248,0.5379961526129585,0,0
249,0.5382975765726297,0,0
250,0.5400583170405376,0,0
251,0.5352088255664057,0,0
252,0.565662194750707,1,0
253,0.5393001817707366,0,1
254,0.5375376865749772,0,0
255,0.5339610423794501,0,0
256,0.5662017183342379,1,0
257,0.5543847809280403,1,0
258,0.5385279408323492,0,0
259,0.5343560325856618,0,0
260,0.537971939787869,0,0
261,0.5411485813414704,0,0
262,0.534154631587701,0,0
263,0.5398396499476213,0,0
264,0.5502682741637749,0,0
265,0.5418269684290861,0,0
266,0.5530685969883227,1,0
267,0.539631868116986,0,0
268,0.544770912719065,0,0
269,0.5444257274703991,0,0
270,0.5370361647058015,0,0
271,0.536938585591016,0,0
272,0.5338170510809185,0,0
273,0.5391167991764322,0,0
274,0.5379101702619253,0,0
275,0.5557972178463317,1,0
276,0.5423585766186095,0,0
277,0.5487131738640347,0,0
278,0.5366207453911638,0,0
279,0.5407470851883402,0,0
280,0.5337957917757494,0,0
281,0.5415828751813482,0,0
282,0.5406892692586616,0,0
283,0.5370249478770951,0,0
284,0.5341378284721467,0,0
285,0.5373168062194644,0,0
286,0.5330712899772186,0,0
287,0.5350569495281946,0,0
288,0.5403734807872642,0,0
289,0.5372760018590069,0,0
290,0.5532122644659012,1,0
291,0.5416120922295716,0,0
292,0.5427574728882789,0,0
293,0.540494036575365,0,0
294,0.5345890464224607,0,0
295,0.537879655384075,0,0
296,0.5395189313399186,0,1
297,0.5407535091713367,0,0
298,0.5670493605545885,1,0
299,0.5450981235870943,0,0
300,0.5388861275630207,0,0
301,0.5467684551378856,0,0
302,0.5470880240727575,0,0
303,0.5363043026310925,0,0
304,0.5342381192397633,0,0
305,0.5445085363009029,0,0
306,0.5426055452649795,0,0
307,0.5368518361803761,0,0
308,0.5469807655964641,0,0
309,0.5633723802457639,1,0
310,0.5368699227425547,0,0
311,0.5474619089734577,0,0
312,0.5417771679766858,0,0
313,0.5374219266963259,0,0
314,0.5384122438974017,0,0
315,0.5359871251208415,0,0
316,0.5344142456909368,0,0
317,0.5586975644384055,1,1
318,0.5381169110256072,0,0
319,0.537520764678012,0,0
320,0.5364162285352408,0,0
321,0.5537652844034004,1,0
322,0.5356217445628483,0,0
323,0.5345015978959741,0,0
324,0.5440929361536931,0,0
325,0.5396988719541196,0,0
