Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.6476854084858403,0,0
1,0.6658510437988818,1,0
2,0.6606985902658944,1,0
3,0.641095798169622,0,0
4,0.665712192338106,1,0
5,0.6494270959283941,0,0
6,0.7111663196764021,1,0
7,0.6647069333860111,1,0
8,0.6910965179445777,1,0
9,0.6786230196970063,1,0
10,0.6612619753295339,1,0
11,0.6558474196359129,1,0
12,0.649176759163877,0,0
13,0.6470866742528709,0,0
14,0.6676630779006304,1,0
15,0.6888596631424784,1,0
16,0.6488154199477643,0,0
17,0.6581522690042807,1,0
18,0.6513589915966216,1,0
19,0.6795954040937094,1,0
20,0.6650979622904896,1,0
21,0.6643638863571434,1,0
22,0.6672951606564534,1,0
23,0.6706367138947555,1,0
24,0.6565535538104605,1,0
25,0.6544104976248705,1,0
26,0.6918509809884337,1,0
27,0.7182694537893481,1,0
28,0.6658394435241296,1,0
29,0.6873079506527894,1,0
30,0.6703213230982293,1,0
31,0.6764751788595712,1,0
32,0.6893454240923981,1,0
33,0.6549029989447145,1,0
34,0.6486371587337532,0,0
35,0.6603603892819652,1,0
36,0.6720547143345857,1,0
37,0.6742918267965092,1,0
38,0.6765045825685072,1,0
39,0.7115227755588047,1,0
40,0.6567110962922028,1,0
41,0.6719669681654297,1,0
42,0.6526333552911464,1,0
43,0.6834717371753715,1,0
44,0.7380433617862767,1,0
45,0.6530472288562259,1,0
46,0.7219190719673602,1,0
47,0.6661117640677747,1,0
48,0.6723391966458743,1,0
49,0.6492745152952146,0,0
50,0.6650563906724245,1,0
51,0.6457769527717319,0,0
52,0.6500109583722127,0,0
53,0.6515033163946643,1,0
54,0.6627060632212444,1,0
55,0.6879369903973822,1,0
56,0.637346645103101,0,0
57,0.6674596862042435,1,0
58,0.7028281156816928,1,0
59,0.6720316929485994,1,0
60,0.6561045269192347,1,0
61,0.6757091629134014,1,0
62,0.6794290315023073,1,0
63,0.6370603422880959,0,0
64,0.6461425888903819,0,0
65,0.6765708367189062,1,0
66,0.6492787951155043,0,0
67,0.6745123422482744,1,0
68,0.6604156274803383,1,0
69,0.679184474553135,1,0
70,0.6925862944506954,1,0
71,0.6827722246350453,1,0
72,0.6713357371285278,1,0
73,0.6408639897298307,0,0
74,0.6865515677505357,1,0
75,0.6793169563668023,1,0
76,0.6587751259018787,1,0
77,0.6728159813721301,1,0
78,0.6635415578600459,1,0
79,0.6790214785136152,1,0
80,0.6584609311766543,1,0
81,0.6589478717585371,1,0
82,0.6782669495856684,1,0
83,0.6808035535208932,1,0
84,0.6330648991572838,0,0
85,0.7309099021487592,1,0
86,0.6457105022941225,0,0
87,0.679672355048145,1,0
88,0.6720911353793946,1,0
89,0.6730710946602079,1,0
90,0.6592244978929861,1,0
91,0.6692483734812543,1,0
92,0.6671584092859599,1,0
93,0.6765236629221201,1,0
94,0.6981183027995973,1,0
95,0.692939553325285,1,0
96,0.6498970069233815,0,0
97,0.6746483057513256,1,0
98,0.6566886214378914,1,0
99,0.6280043704743863,0,0
100,0.7166822457717703,1,0
101,0.668923949722892,1,0
102,0.6779845766196667,1,0
103,0.6818832250855232,1,0
104,0.6684442547153566,1,0
105,0.6825479347205119,1,0
106,0.6519262342850299,1,0
107,0.6540546818450712,1,0
108,0.727223867385763,1,0
109,0.6929919004591244,1,0
110,0.6977139609048397,1,0
111,0.6612330133031118,1,0
