Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.82,0.0,0.0,0.0,0.3845,0
7,1.91,0.0,0.0,0.0,0.3845,0
10,2.73,0.2,0.0278,0.0488,0.3845,2
14,3.83,0.1429,0.0278,0.0465,0.3845,2
18,4.92,0.1111,0.0278,0.0444,0.3845,2
21,5.74,0.0952,0.0278,0.043,0.3845,2
25,6.83,0.08,0.0278,0.0412,0.3845,2
29,7.92,0.069,0.0278,0.0396,0.3845,2
32,8.74,0.0625,0.0278,0.0385,0.3845,2
36,9.84,0.0556,0.0278,0.037,0.3845,2
54,14.75,0.037,0.0278,0.0317,0.3845,2
73,19.95,0.0548,0.0556,0.0552,0.3845,4
91,24.86,0.0769,0.0972,0.0859,0.3845,7
109,29.78,0.0734,0.1111,0.0884,0.3845,8
128,34.97,0.0781,0.1389,0.1,0.3845,10
146,39.89,0.0822,0.1667,0.1101,0.3845,12
164,44.81,0.0915,0.2083,0.1271,0.3845,15
183,50.0,0.1038,0.2639,0.149,0.3845,19
219,59.84,0.1461,0.4444,0.2199,0.3845,32
256,69.95,0.1953,0.6944,0.3049,0.3845,50
292,79.78,0.2055,0.8333,0.3297,0.3845,60
329,89.89,0.2067,0.9444,0.3392,0.3845,68
366,100.0,0.1967,1.0,0.3288,0.3845,72
