Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.81,0.0,0.0,0.0,0.7268,0
7,1.89,0.0,0.0,0.0,0.7268,0
11,2.97,0.0,0.0,0.0,0.7268,0
14,3.78,0.0,0.0,0.0,0.7268,0
18,4.86,0.0,0.0,0.0,0.7268,0
22,5.95,0.0,0.0,0.0,0.7268,0
25,6.76,0.04,0.02,0.0267,0.7268,1
29,7.84,0.0345,0.02,0.0253,0.7268,1
33,8.92,0.1212,0.08,0.0964,0.7268,4
37,10.0,0.1081,0.08,0.092,0.7268,4
55,14.86,0.0909,0.1,0.0952,0.7268,5
74,20.0,0.1622,0.24,0.1935,0.7268,12
92,24.86,0.1739,0.32,0.2254,0.7268,16
111,30.0,0.2072,0.46,0.2857,0.7268,23
129,34.86,0.2481,0.64,0.3575,0.7268,32
148,40.0,0.2568,0.76,0.3838,0.7268,38
166,44.86,0.259,0.86,0.3981,0.7268,43
185,50.0,0.2595,0.96,0.4085,0.7268,48
222,60.0,0.2252,1.0,0.3676,0.7268,50
259,70.0,0.1931,1.0,0.3236,0.7268,50
296,80.0,0.1689,1.0,0.289,0.7268,50
333,90.0,0.1502,1.0,0.2611,0.7268,50
370,100.0,0.1351,1.0,0.2381,0.7268,50
