Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,0.5,0.0256,0.0488,0.5705,1
4,1.87,0.5,0.0513,0.093,0.5705,2
6,2.8,0.5,0.0769,0.1333,0.5705,3
8,3.74,0.5,0.1026,0.1702,0.5705,4
10,4.67,0.4,0.1026,0.1633,0.5705,4
12,5.61,0.3333,0.1026,0.1569,0.5705,4
14,6.54,0.2857,0.1026,0.1509,0.5705,4
17,7.94,0.2353,0.1026,0.1429,0.5705,4
19,8.88,0.2105,0.1026,0.1379,0.5705,4
21,9.81,0.2381,0.1282,0.1667,0.5705,5
32,14.95,0.2188,0.1795,0.1972,0.5705,7
42,19.63,0.2381,0.2564,0.2469,0.5705,10
53,24.77,0.2453,0.3333,0.2826,0.5705,13
64,29.91,0.25,0.4103,0.3107,0.5705,16
74,34.58,0.2568,0.4872,0.3363,0.5705,19
85,39.72,0.2471,0.5385,0.3387,0.5705,21
96,44.86,0.2292,0.5641,0.3259,0.5705,22
107,50.0,0.215,0.5897,0.3151,0.5705,23
128,59.81,0.2109,0.6923,0.3234,0.5705,27
149,69.63,0.2013,0.7692,0.3191,0.5705,30
171,79.91,0.1871,0.8205,0.3048,0.5705,32
192,89.72,0.1771,0.8718,0.2944,0.5705,34
214,100.0,0.1822,1.0,0.3083,0.5705,39
