Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.83,1.0,0.05,0.0952,0.979,1
2,1.67,1.0,0.1,0.1818,0.979,2
3,2.5,1.0,0.15,0.2609,0.979,3
4,3.33,1.0,0.2,0.3333,0.979,4
6,5.0,0.8333,0.25,0.3846,0.979,5
7,5.83,0.8571,0.3,0.4444,0.979,6
8,6.67,0.875,0.35,0.5,0.979,7
9,7.5,0.7778,0.35,0.4828,0.979,7
10,8.33,0.8,0.4,0.5333,0.979,8
12,10.0,0.8333,0.5,0.625,0.979,10
18,15.0,0.7778,0.7,0.7368,0.979,14
24,20.0,0.8333,1.0,0.9091,0.979,20
30,25.0,0.6667,1.0,0.8,0.979,20
36,30.0,0.5556,1.0,0.7143,0.979,20
42,35.0,0.4762,1.0,0.6452,0.979,20
48,40.0,0.4167,1.0,0.5882,0.979,20
54,45.0,0.3704,1.0,0.5405,0.979,20
60,50.0,0.3333,1.0,0.5,0.979,20
72,60.0,0.2778,1.0,0.4348,0.979,20
84,70.0,0.2381,1.0,0.3846,0.979,20
96,80.0,0.2083,1.0,0.3448,0.979,20
108,90.0,0.1852,1.0,0.3125,0.979,20
120,100.0,0.1667,1.0,0.2857,0.979,20
