Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.98,1.0,0.0732,0.1364,0.946,6
12,1.95,1.0,0.1463,0.2553,0.946,12
18,2.93,1.0,0.2195,0.36,0.946,18
24,3.9,1.0,0.2927,0.4528,0.946,24
30,4.88,0.9333,0.3415,0.5,0.946,28
36,5.85,0.9444,0.4146,0.5763,0.946,34
43,6.99,0.9302,0.4878,0.64,0.946,40
49,7.97,0.9388,0.561,0.7023,0.946,46
55,8.94,0.9091,0.6098,0.7299,0.946,50
61,9.92,0.8689,0.6463,0.7413,0.946,53
92,14.96,0.6739,0.7561,0.7126,0.946,62
123,20.0,0.5447,0.8171,0.6537,0.946,67
153,24.88,0.4641,0.8659,0.6043,0.946,71
184,29.92,0.4076,0.9146,0.5639,0.946,75
215,34.96,0.3581,0.939,0.5185,0.946,77
246,40.0,0.3211,0.9634,0.4817,0.946,79
276,44.88,0.2862,0.9634,0.4413,0.946,79
307,49.92,0.2638,0.9878,0.4165,0.946,81
369,60.0,0.2222,1.0,0.3636,0.946,82
430,69.92,0.1907,1.0,0.3203,0.946,82
492,80.0,0.1667,1.0,0.2857,0.946,82
553,89.92,0.1483,1.0,0.2583,0.946,82
615,100.0,0.1333,1.0,0.2353,0.946,82
