Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.99,1.0,0.0216,0.0423,0.6759,3
6,1.98,1.0,0.0432,0.0828,0.6759,6
9,2.97,1.0,0.0647,0.1216,0.6759,9
12,3.96,0.9167,0.0791,0.1457,0.6759,11
15,4.95,0.8667,0.0935,0.1688,0.6759,13
18,5.94,0.7778,0.1007,0.1783,0.6759,14
21,6.93,0.7619,0.1151,0.2,0.6759,16
24,7.92,0.75,0.1295,0.2209,0.6759,18
27,8.91,0.7778,0.1511,0.253,0.6759,21
30,9.9,0.7333,0.1583,0.2604,0.6759,22
45,14.85,0.6889,0.223,0.337,0.6759,31
60,19.8,0.6833,0.295,0.4121,0.6759,41
75,24.75,0.6667,0.3597,0.4673,0.6759,50
90,29.7,0.6333,0.4101,0.4978,0.6759,57
106,34.98,0.6038,0.4604,0.5224,0.6759,64
121,39.93,0.595,0.518,0.5538,0.6759,72
136,44.88,0.5882,0.5755,0.5818,0.6759,80
151,49.83,0.5695,0.6187,0.5931,0.6759,86
181,59.74,0.5525,0.7194,0.625,0.6759,100
212,69.97,0.5472,0.8345,0.661,0.6759,116
242,79.87,0.5165,0.8993,0.6562,0.6759,125
272,89.77,0.4926,0.964,0.6521,0.6759,134
303,100.0,0.4587,1.0,0.629,0.6759,139
