Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.8181908281685815,1,0
1,0.8158991992725737,1,0
2,0.7850244348369645,0,1
3,0.8683896962732062,1,1
4,0.8051133205723915,1,0
5,0.7815680061960737,0,0
6,0.772133145792091,0,0
7,0.7810223614043523,0,0
8,0.7939902670231416,0,0
9,0.8305992434564402,1,1
10,0.8100926353686141,1,1
11,0.7944185164964223,0,0
12,0.7810890538734788,0,0
13,0.8544293891214116,1,1
14,0.7980569614321468,0,0
15,0.7967666983133976,0,0
16,0.8483925938926945,1,1
17,0.7950267928339461,0,0
18,0.8010959995769513,1,1
19,0.7976798967470012,0,0
20,0.8028128226480082,1,0
21,0.8070634362788451,1,0
22,0.7854676165675565,0,0
23,0.7926983821888158,0,0
24,0.7948504035484215,0,0
25,0.7866924529647449,0,0
26,0.802261077215605,1,1
27,0.7990519649690799,1,1
28,0.8051143476309812,1,0
29,0.7853951757944954,0,0
30,0.8199266485816689,1,0
31,0.8407187511211214,1,1
32,0.7696597333261772,0,0
33,0.7993517442913967,1,1
34,0.7942966926455981,0,0
35,0.8075789868844506,1,0
36,0.829863376043232,1,1
37,0.7960856855170768,0,0
38,0.8047781624845911,1,1
39,0.8243742199177827,1,0
40,0.7952310208182283,0,0
41,0.8505276970639901,1,1
42,0.7853485858396961,0,0
43,0.8054076833297052,1,0
44,0.8095467011388356,1,0
45,0.8027623392574798,1,0
46,0.7925048004565858,0,1
47,0.7858888203142816,0,0
48,0.8210966163686773,1,0
49,0.8363482302612772,1,1
50,0.8060896823809348,1,1
51,0.7970228137386469,0,1
52,0.7833733012078445,0,0
53,0.7876335946177018,0,1
54,0.829183614759471,1,1
55,0.8249385559254344,1,1
56,0.7830614792324792,0,0
57,0.785471967010318,0,0
58,0.802076446017513,1,1
59,0.7933827903599151,0,0
60,0.7876279092310556,0,0
61,0.7996550781777656,1,0
62,0.8071991593374389,1,1
63,0.8409070664327519,1,0
64,0.8186151098209683,1,1
65,0.7908958669998531,0,0
66,0.8259661335332559,1,0
67,0.7927563395693342,0,1
68,0.8025061176450807,1,0
69,0.806706996759926,1,1
70,0.8118268118370272,1,1
71,0.8082313893690923,1,1
72,0.8049202374650265,1,0
73,0.817935720976379,1,1
74,0.8346212354556259,1,0
75,0.8181344977149289,1,0
76,0.7698491360340228,0,0
77,0.799285656702603,1,0
78,0.7931253749040127,0,0
79,0.8144796092858364,1,1
80,0.8037992512762507,1,1
