Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
129,1.0,0.0,0.0,0.0,0.158,0
259,2.0,0.0,0.0,0.0,0.158,0
388,2.99,0.0,0.0,0.0,0.158,0
518,4.0,0.0,0.0,0.0,0.158,0
648,5.0,0.0,0.0,0.0,0.158,0
777,6.0,0.0,0.0,0.0,0.158,0
907,7.0,0.0,0.0,0.0,0.158,0
1036,7.99,0.0,0.0,0.0,0.158,0
1166,9.0,0.0,0.0,0.0,0.158,0
1296,10.0,0.0,0.0,0.0,0.158,0
1944,15.0,0.0,0.0,0.0,0.158,0
2592,20.0,0.0,0.0,0.0,0.158,0
3240,25.0,0.0,0.0,0.0,0.158,0
3888,30.0,0.0,0.0,0.0,0.158,0
4536,35.0,0.0,0.0,0.0,0.158,0
5184,40.0,0.0,0.0,0.0,0.158,0
5832,45.0,0.0,0.0,0.0,0.158,0
6480,50.0,0.0,0.0,0.0,0.158,0
7776,60.0,0.0,0.0,0.0,0.158,0
9072,70.0,0.0004,0.0121,0.0009,0.158,4
10368,80.0,0.0065,0.203,0.0125,0.158,67
11664,90.0,0.0117,0.4121,0.0227,0.158,136
12960,100.0,0.0255,1.0,0.0497,0.158,330
