Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.7319300531762063,1,0
1,0.8094146211566936,1,0
2,0.8077849718992813,1,0
3,0.8099936608650901,1,0
4,0.8368013157088932,1,0
5,0.7831968305550061,1,0
6,0.6738548993356711,1,0
7,0.6776449326854875,1,0
8,0.6670120437837543,0,0
9,0.6679772809547013,1,0
10,0.6772534381788764,1,0
11,0.6758963410703529,1,0
12,0.688197692425922,1,0
13,0.6629286903600509,0,0
14,0.6651313961046711,0,0
15,0.668159580638338,1,0
16,0.6669267545984999,0,0
17,0.7234930121048688,1,0
18,0.7703132720211232,1,0
19,0.7230275665974515,1,0
20,0.7233869791028601,1,0
21,0.7052208265344511,1,0
22,0.7195832705596019,1,0
23,0.7016693247815985,1,0
24,0.6643778820489007,0,0
25,0.6878382315265229,1,0
26,0.6587078683915706,0,0
27,0.6500365570769638,0,0
28,0.6824959814108709,1,0
29,0.6640135962917638,0,0
30,0.7193374198955089,1,1
31,0.7276741984886312,1,1
32,0.7288166925834538,1,1
33,0.7497675970485949,1,1
34,0.7561263657254002,1,1
35,0.7359712262918101,1,1
36,0.6655387755037734,0,0
37,0.6781149100599583,1,0
38,0.6872096490164755,1,0
39,0.6808000314828968,1,0
40,0.693295481285271,1,0
41,0.7126695164375972,1,0
42,0.7194308070569024,1,1
43,0.7054445591897334,1,1
44,0.7287399637237095,1,1
45,0.7248381994472274,1,1
46,0.7201618231751005,1,1
47,0.7390504068969783,1,1
48,0.6612711125498419,0,1
49,0.6696367414294283,1,1
50,0.6703572976774143,1,1
51,0.6685433872006351,1,1
52,0.668376466099098,1,1
53,0.6593369279798574,0,1
54,0.6835957465320892,1,0
55,0.7107719383300811,1,0
56,0.7228216726225545,1,0
57,0.6787089755517958,1,0
58,0.6843533220379693,1,0
59,0.7169007569808332,1,0
60,0.7009020564004979,1,1
61,0.6990201017425757,1,1
62,0.7122749960011996,1,1
63,0.7288997589673709,1,1
64,0.7464499291960037,1,1
65,0.7122312738764492,1,1
66,0.6711699048143764,1,0
67,0.6868272687737064,1,0
68,0.7771894509022212,1,0
69,0.7317551869452324,1,0
70,0.6916460367850944,1,0
71,0.7596500273423987,1,0
72,0.6650784928110182,0,0
73,0.6760730965741806,1,0
74,0.6566922440756242,0,0
75,0.6716007904563596,1,0
76,0.6936886874364585,1,0
77,0.6706198005884825,1,0
78,0.6782369489956406,1,0
79,0.7466329117120732,1,0
80,0.7277604719540542,1,0
81,0.6854144344880665,1,0
82,0.6676867192543013,1,0
83,0.6660436830628584,0,0
84,0.7584333895803815,1,0
85,0.7153800883961258,1,0
86,0.7071286271099658,1,0
87,0.7732507128182591,1,0
88,0.7584478837756673,1,0
89,0.7830649489816788,1,0
90,0.8022473096694765,1,0
91,0.7444772249017612,1,0
92,0.7054931644737509,1,0
93,0.73074575986262,1,0
94,0.674167656586678,1,0
