Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.5,0.05,0.0909,0.8692,2
9,1.84,0.7778,0.175,0.2857,0.8692,7
14,2.86,0.8571,0.3,0.4444,0.8692,12
19,3.88,0.8947,0.425,0.5763,0.8692,17
24,4.9,0.7917,0.475,0.5937,0.8692,19
29,5.92,0.7241,0.525,0.6087,0.8692,21
34,6.94,0.7059,0.6,0.6486,0.8692,24
39,7.96,0.6154,0.6,0.6076,0.8692,24
44,8.98,0.5455,0.6,0.5714,0.8692,24
49,10.0,0.4898,0.6,0.5393,0.8692,24
73,14.9,0.3973,0.725,0.5133,0.8692,29
98,20.0,0.3163,0.775,0.4493,0.8692,31
122,24.9,0.2623,0.8,0.3951,0.8692,32
147,30.0,0.2177,0.8,0.3422,0.8692,32
171,34.9,0.1988,0.85,0.3223,0.8692,34
196,40.0,0.1735,0.85,0.2881,0.8692,34
220,44.9,0.1545,0.85,0.2615,0.8692,34
245,50.0,0.1469,0.9,0.2526,0.8692,36
294,60.0,0.1224,0.9,0.2156,0.8692,36
343,70.0,0.1108,0.95,0.1984,0.8692,38
392,80.0,0.0995,0.975,0.1806,0.8692,39
441,90.0,0.0907,1.0,0.1663,0.8692,40
490,100.0,0.0816,1.0,0.1509,0.8692,40
