Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
100,1.0,0.0,0.0,0.0,0.5792,0
200,2.0,0.0,0.0,0.0,0.5792,0
300,3.0,0.0,0.0,0.0,0.5792,0
400,4.0,0.0,0.0,0.0,0.5792,0
500,5.0,0.0,0.0,0.0,0.5792,0
600,6.0,0.0,0.0,0.0,0.5792,0
700,7.0,0.0,0.0,0.0,0.5792,0
800,8.0,0.0,0.0,0.0,0.5792,0
900,9.0,0.0,0.0,0.0,0.5792,0
1000,10.0,0.0,0.0,0.0,0.5792,0
1500,15.0,0.0,0.0,0.0,0.5792,0
2000,20.0,0.0,0.0,0.0,0.5792,0
2500,25.0,0.0128,0.0151,0.0138,0.5792,32
3000,30.0,0.059,0.0833,0.0691,0.5792,177
3500,35.0,0.1551,0.2556,0.1931,0.5792,543
4000,40.0,0.2248,0.4233,0.2936,0.5792,899
4500,45.0,0.2802,0.5937,0.3807,0.5792,1261
5000,50.0,0.3272,0.7702,0.4593,0.5792,1636
6000,60.0,0.3303,0.9331,0.4879,0.5792,1982
7000,70.0,0.2894,0.9539,0.4441,0.5792,2026
8000,80.0,0.2554,0.9619,0.4036,0.5792,2043
9000,90.0,0.2317,0.9816,0.3749,0.5792,2085
10000,100.0,0.2124,1.0,0.3504,0.5792,2124
