Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.0,0.0,0.0,0.6715,0
7,1.77,0.4286,0.1034,0.1667,0.6715,3
11,2.78,0.2727,0.1034,0.15,0.6715,3
15,3.8,0.2,0.1034,0.1364,0.6715,3
19,4.81,0.1579,0.1034,0.125,0.6715,3
23,5.82,0.1739,0.1379,0.1538,0.6715,4
27,6.84,0.1481,0.1379,0.1429,0.6715,4
31,7.85,0.1613,0.1724,0.1667,0.6715,5
35,8.86,0.1714,0.2069,0.1875,0.6715,6
39,9.87,0.1795,0.2414,0.2059,0.6715,7
59,14.94,0.1186,0.2414,0.1591,0.6715,7
79,20.0,0.1266,0.3448,0.1852,0.6715,10
98,24.81,0.1429,0.4828,0.2205,0.6715,14
118,29.87,0.1186,0.4828,0.1905,0.6715,14
138,34.94,0.1159,0.5517,0.1916,0.6715,16
158,40.0,0.1139,0.6207,0.1925,0.6715,18
177,44.81,0.1073,0.6552,0.1845,0.6715,19
197,49.87,0.1066,0.7241,0.1858,0.6715,21
237,60.0,0.1013,0.8276,0.1805,0.6715,24
276,69.87,0.0906,0.8621,0.1639,0.6715,25
316,80.0,0.0886,0.9655,0.1623,0.6715,28
355,89.87,0.0817,1.0,0.151,0.6715,29
395,100.0,0.0734,1.0,0.1368,0.6715,29
