Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.2083,0.0275,0.0487,0.6235,10
97,1.98,0.1753,0.0468,0.0739,0.6235,17
146,2.98,0.1644,0.0661,0.0943,0.6235,24
195,3.98,0.1949,0.1047,0.1362,0.6235,38
244,4.98,0.1844,0.124,0.1483,0.6235,45
293,5.98,0.1741,0.1405,0.1555,0.6235,51
342,6.98,0.1754,0.1653,0.1702,0.6235,60
391,7.98,0.1662,0.1791,0.1724,0.6235,65
440,8.98,0.1727,0.2094,0.1893,0.6235,76
489,9.98,0.1616,0.2176,0.1854,0.6235,79
734,14.99,0.1444,0.292,0.1933,0.6235,106
979,19.99,0.1389,0.3747,0.2027,0.6235,136
1224,24.99,0.1299,0.438,0.2004,0.6235,159
1469,29.99,0.1212,0.4904,0.1943,0.6235,178
1714,34.99,0.1132,0.5344,0.1868,0.6235,194
1959,40.0,0.1087,0.5868,0.1835,0.6235,213
2204,45.0,0.0998,0.6061,0.1714,0.6235,220
2449,50.0,0.0964,0.6501,0.1679,0.6235,236
2938,59.98,0.0885,0.7163,0.1575,0.6235,260
3428,69.99,0.0817,0.7713,0.1477,0.6235,280
3918,79.99,0.0807,0.8705,0.1476,0.6235,316
4408,90.0,0.0778,0.9449,0.1438,0.6235,343
4898,100.0,0.0741,1.0,0.138,0.6235,363
