Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
11,0.96,0.3636,0.8,0.5,0.9935,4
22,1.93,0.2273,1.0,0.3704,0.9935,5
34,2.98,0.1471,1.0,0.2564,0.9935,5
45,3.94,0.1111,1.0,0.2,0.9935,5
57,5.0,0.0877,1.0,0.1613,0.9935,5
68,5.96,0.0735,1.0,0.137,0.9935,5
79,6.92,0.0633,1.0,0.119,0.9935,5
91,7.98,0.0549,1.0,0.1042,0.9935,5
102,8.94,0.049,1.0,0.0935,0.9935,5
114,9.99,0.0439,1.0,0.084,0.9935,5
171,14.99,0.0292,1.0,0.0568,0.9935,5
228,19.98,0.0219,1.0,0.0429,0.9935,5
285,24.98,0.0175,1.0,0.0345,0.9935,5
342,29.97,0.0146,1.0,0.0288,0.9935,5
399,34.97,0.0125,1.0,0.0248,0.9935,5
456,39.96,0.011,1.0,0.0217,0.9935,5
513,44.96,0.0097,1.0,0.0193,0.9935,5
570,49.96,0.0088,1.0,0.0174,0.9935,5
684,59.95,0.0073,1.0,0.0145,0.9935,5
798,69.94,0.0063,1.0,0.0125,0.9935,5
912,79.93,0.0055,1.0,0.0109,0.9935,5
1026,89.92,0.0049,1.0,0.0097,0.9935,5
1141,100.0,0.0044,1.0,0.0087,0.9935,5
