Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.5105062127113342,0,0,unlabeled
1,0.0002310109994141385,0,0,unlabeled
2,0.001326926751062274,0,0,unlabeled
3,0.01700906828045845,0,0,unlabeled
4,0.31201741099357605,0,0,unlabeled
5,0.6837801933288574,1,0,unlabeled
6,2.4193921490223147e-05,0,0,unlabeled
7,0.0225059911608696,0,0,unlabeled
8,6.80387029206031e-06,0,0,train
9,0.004388332832604647,0,0,unlabeled
10,0.9914729595184326,1,0,unlabeled
11,5.506075467565097e-05,0,0,unlabeled
12,0.4083194434642792,0,0,train
13,0.0001914285821840167,0,0,unlabeled
14,0.0005226042703725398,0,0,train
15,0.002539462875574827,0,0,train
16,0.0056895120069384575,0,0,unlabeled
17,0.0012466480256989598,0,0,train
18,1.007977425615536e-05,0,0,unlabeled
19,0.0006385855958797038,0,0,unlabeled
20,9.513116197013005e-07,0,0,unlabeled
21,0.9519822597503662,1,0,unlabeled
22,3.974449555244064e-06,0,0,unlabeled
23,6.465537012445566e-07,0,0,train
24,0.0006746696308255196,0,0,unlabeled
25,7.434721192112193e-05,0,0,unlabeled
26,2.199160553573165e-05,0,0,unlabeled
27,0.10248220711946487,0,0,unlabeled
28,2.976090763695538e-05,0,0,unlabeled
29,0.14442962408065796,0,0,train
30,0.5936549305915833,0,0,train
31,0.00011981762509094551,0,0,unlabeled
32,1.2621916312127723e-06,0,0,unlabeled
33,9.70119253906887e-06,0,0,train
34,0.003242948791012168,0,0,unlabeled
35,0.8908095359802246,1,0,unlabeled
36,0.8481042981147766,1,0,unlabeled
37,2.1124567865626886e-05,0,0,train
38,0.0017046096036210656,0,0,unlabeled
39,0.28937602043151855,0,0,unlabeled
40,0.042394235730171204,0,0,unlabeled
41,0.0007239769911393523,0,0,unlabeled
42,2.6396552129881456e-05,0,0,unlabeled
43,0.0007761328597553074,0,0,unlabeled
44,0.0005464275018312037,0,0,train
45,6.314791789918672e-06,0,0,unlabeled
46,0.006753447465598583,0,0,unlabeled
47,9.265152766602114e-05,0,0,val
48,0.00794072076678276,0,0,unlabeled
49,0.0004192390479147434,0,0,unlabeled
50,0.8186348676681519,1,0,unlabeled
51,0.006130217108875513,0,0,unlabeled
52,0.03078239969909191,0,0,unlabeled
53,0.6237238645553589,0,0,unlabeled
54,0.0007060118950903416,0,0,unlabeled
55,0.00022899324540048838,0,0,unlabeled
56,0.0002254793216707185,0,0,unlabeled
57,6.135412695584819e-05,0,0,unlabeled
58,0.007090897299349308,0,0,unlabeled
59,2.634500617659796e-07,0,0,unlabeled
60,0.2062930464744568,0,0,unlabeled
61,0.022426167502999306,0,0,unlabeled
62,0.7432680726051331,1,0,unlabeled
63,0.00017659217701293528,0,0,train
64,0.7507742047309875,1,0,unlabeled
65,0.001574331196025014,0,0,train
66,0.003825274296104908,0,0,unlabeled
67,0.0009765848517417908,0,0,unlabeled
68,8.979299309430644e-06,0,0,unlabeled
69,0.002490690443664789,0,0,train
70,2.8874710551463068e-05,0,0,unlabeled
71,2.7394984499551356e-05,0,0,train
72,2.151123044313863e-05,0,0,unlabeled
73,0.00013483747898135334,0,0,unlabeled
74,7.13252229616046e-05,0,0,unlabeled
75,0.9039806723594666,1,0,unlabeled
76,0.0008411461603827775,0,0,unlabeled
77,0.8978890180587769,1,0,unlabeled
78,0.00011515376536408439,0,0,unlabeled
79,3.235533586121164e-05,0,0,train
80,0.7306585311889648,1,1,unlabeled
81,0.013766836374998093,0,0,val
82,0.5615947842597961,0,0,unlabeled
83,5.96471090830164e-06,0,0,unlabeled
84,0.0018908646889030933,0,0,unlabeled
85,0.06755246967077255,0,0,train
86,0.00012609658006113023,0,0,unlabeled
87,0.0003822461876552552,0,0,unlabeled
88,0.00047241203719750047,0,0,unlabeled
89,0.5245912671089172,0,0,train
90,0.0013313593808561563,0,0,unlabeled
91,5.732015415560454e-05,0,0,train
92,0.00013897773169446737,0,0,unlabeled
93,0.0012923884205520153,0,0,unlabeled
94,0.013649591244757175,0,0,train
95,0.00036627709050662816,0,0,unlabeled
96,0.0001696820108918473,0,0,unlabeled
97,1.700996290310286e-05,0,0,unlabeled
98,0.10456010699272156,0,0,unlabeled
99,0.6572611331939697,0,0,unlabeled
100,0.001581962569616735,0,0,unlabeled
101,0.26978346705436707,0,0,train
102,0.03749515116214752,0,0,train
103,0.000348666071658954,0,0,train
104,0.23507925868034363,0,0,unlabeled
105,3.657697561720852e-06,0,0,unlabeled
106,0.00010374631528975442,0,0,unlabeled
107,0.00043537942110560834,0,0,val
108,0.036111924797296524,0,0,train
109,1.1387325002942816e-06,0,0,unlabeled
110,0.020852822810411453,0,0,train
111,6.5387721406295896e-06,0,0,train
112,0.9903153777122498,1,0,unlabeled
113,0.3808633089065552,0,0,unlabeled
114,0.0019186995923519135,0,0,unlabeled
115,8.381397492485121e-06,0,0,unlabeled
116,5.245078114057833e-07,0,0,unlabeled
117,0.00011228932999074459,0,0,unlabeled
118,0.00432598777115345,0,0,unlabeled
119,0.040288154035806656,0,0,unlabeled
120,0.00010283778829034418,0,0,unlabeled
121,5.1785475079668686e-05,0,0,unlabeled
122,0.0011543736327439547,0,0,train
123,0.00031449581729248166,0,0,unlabeled
124,0.14100345969200134,0,0,unlabeled
125,2.717540155572351e-05,0,0,train
126,1.763423142620013e-06,0,0,unlabeled
127,0.024994540959596634,0,0,unlabeled
128,0.0007486216491088271,0,0,unlabeled
129,6.034609759808518e-05,0,0,unlabeled
130,0.023587606847286224,0,0,unlabeled
131,0.9828758835792542,1,0,unlabeled
132,1.7462259620515397e-06,0,0,unlabeled
133,0.6715006828308105,0,0,val
134,0.0014203751925379038,0,0,unlabeled
135,5.939456968917511e-06,0,0,unlabeled
136,0.0005068001337349415,0,0,train
137,0.005651809740811586,0,0,unlabeled
138,0.9492702484130859,1,0,unlabeled
139,0.00013300083810463548,0,0,unlabeled
140,0.0033554700203239918,0,0,unlabeled
141,0.18966682255268097,0,0,unlabeled
142,0.0007804675260558724,0,0,unlabeled
143,9.591536945663393e-05,0,0,train
144,0.0009823233122006059,0,0,unlabeled
145,0.004791043233126402,0,0,val
146,8.323600923176855e-06,0,0,unlabeled
147,1.1424970580264926e-05,0,0,unlabeled
148,0.3843245208263397,0,0,unlabeled
149,0.005850848276168108,0,0,unlabeled
150,0.0012001655995845795,0,0,val
151,0.2531493902206421,0,0,unlabeled
152,0.00042271995334886014,0,0,train
153,0.013769140467047691,0,0,unlabeled
154,2.8420230592018925e-05,0,0,unlabeled
155,0.7203541994094849,1,0,unlabeled
156,0.00025961181381717324,0,0,unlabeled
157,2.899545506807044e-06,0,0,train
158,5.812120889459038e-06,0,0,val
159,0.3117098808288574,0,0,unlabeled
160,0.00017844833200797439,0,0,unlabeled
161,0.0004611495533026755,0,0,unlabeled
162,0.00012648446136154234,0,0,unlabeled
163,0.0008855457999743521,0,0,unlabeled
164,0.05591297894716263,0,0,unlabeled
165,0.9832962155342102,1,0,unlabeled
166,0.06907342374324799,0,0,unlabeled
167,0.9127811193466187,1,0,unlabeled
168,0.04450974613428116,0,0,train
169,5.502338140672691e-08,0,0,val
170,0.005603050347417593,0,0,unlabeled
171,5.240636255621212e-06,0,0,unlabeled
172,0.7271945476531982,1,0,unlabeled
173,0.9467931389808655,1,0,unlabeled
174,0.08204717189073563,0,0,unlabeled
175,0.42927443981170654,0,0,unlabeled
176,0.01957523263990879,0,0,unlabeled
177,0.691823422908783,1,0,unlabeled
178,7.919254858279601e-05,0,0,val
179,1.136275500357442e-06,0,0,unlabeled
180,0.002712199231609702,0,0,val
181,4.712076702162449e-07,0,0,unlabeled
182,0.016568079590797424,0,0,train
183,0.0013629416935145855,0,0,unlabeled
184,0.02523091249167919,0,0,train
185,0.052712805569171906,0,0,unlabeled
186,7.869040814512118e-07,0,0,train
187,4.509561404120177e-05,0,0,unlabeled
188,3.291825851192698e-05,0,0,unlabeled
189,2.6286684260412585e-06,0,0,unlabeled
190,0.0027881970163434744,0,0,unlabeled
191,0.000574680685531348,0,0,unlabeled
192,0.0009636143804527819,0,0,unlabeled
193,0.0003269733570050448,0,0,unlabeled
194,3.001946879521711e-06,0,0,unlabeled
195,0.0027543578762561083,0,0,unlabeled
196,0.6121567487716675,0,0,unlabeled
197,0.933696985244751,1,0,unlabeled
198,0.0010032810969278216,0,0,unlabeled
199,2.96420585073065e-05,0,0,train
200,0.0007505624671466649,0,0,val
201,0.0008219871670007706,0,0,unlabeled
202,0.051128461956977844,0,0,unlabeled
203,1.7381515135639347e-05,0,0,unlabeled
204,0.029131876304745674,0,0,unlabeled
205,1.4127678014119738e-06,0,0,unlabeled
206,0.4659372866153717,0,0,unlabeled
207,2.1821967948199017e-06,0,0,unlabeled
208,0.00011735105363186449,0,0,unlabeled
209,0.4510178864002228,0,0,train
210,0.0001085946278180927,0,0,unlabeled
211,0.29357701539993286,0,0,unlabeled
212,0.03733866289258003,0,0,unlabeled
213,0.9462922215461731,1,0,unlabeled
214,8.883669943315908e-05,0,0,unlabeled
215,0.001039045164361596,0,0,unlabeled
216,0.00023673025134485215,0,0,unlabeled
217,0.03563679754734039,0,0,unlabeled
218,0.5358431935310364,0,0,unlabeled
219,4.3162264773854986e-05,0,0,unlabeled
220,0.0015760259702801704,0,0,unlabeled
221,0.004700053948909044,0,0,unlabeled
222,0.00022065264056436718,0,0,train
223,0.0003865081234835088,0,0,unlabeled
224,0.7174780964851379,1,0,unlabeled
225,0.5222152471542358,0,0,unlabeled
226,0.2988635003566742,0,0,unlabeled
227,0.6559467911720276,0,0,unlabeled
228,0.24388471245765686,0,0,train
229,0.00010956739424727857,0,0,train
230,0.04348089173436165,0,0,unlabeled
231,0.0001907471305457875,0,0,train
232,0.00018021503638010472,0,0,unlabeled
233,3.0341857382154558e-06,0,0,unlabeled
234,8.187301136786118e-05,0,0,train
235,0.006662111263722181,0,0,unlabeled
236,2.7824498829431832e-05,0,0,unlabeled
237,2.1113508410053328e-05,0,0,unlabeled
238,0.00023375861928798258,0,0,unlabeled
239,0.5374190211296082,0,0,unlabeled
240,0.0474977008998394,0,0,train
241,0.24861107766628265,0,0,train
242,0.009713154286146164,0,0,unlabeled
243,0.01420825906097889,0,0,unlabeled
244,0.0038049749564379454,0,0,unlabeled
245,3.248840585001744e-05,0,0,unlabeled
246,6.278733053477481e-05,0,0,val
247,0.21838535368442535,0,0,unlabeled
248,0.0018433363875374198,0,0,val
249,0.0022955299355089664,0,0,val
250,1.7655972897046013e-06,0,0,unlabeled
251,4.211141640553251e-05,0,0,unlabeled
252,5.421455716714263e-05,0,0,train
253,3.5335676784598036e-07,0,0,unlabeled
254,1.1765323506551795e-06,0,0,unlabeled
255,6.2488752519129775e-06,0,0,train
256,0.16501544415950775,0,0,unlabeled
257,0.0066198185086250305,0,0,unlabeled
258,0.0013999149668961763,0,0,unlabeled
259,0.0031131478026509285,0,0,unlabeled
260,0.0706903412938118,0,0,train
261,0.00032806184026412666,0,0,unlabeled
