Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.3492,0.0546,0.0944,0.8578,22
127,1.99,0.3622,0.1141,0.1736,0.8578,46
191,3.0,0.3508,0.1663,0.2256,0.8578,67
254,3.99,0.3307,0.2084,0.2557,0.8578,84
318,4.99,0.3333,0.263,0.294,0.8578,106
382,5.99,0.3325,0.3151,0.3236,0.8578,127
446,7.0,0.3229,0.3573,0.3392,0.8578,144
509,7.99,0.3006,0.3797,0.3355,0.8578,153
573,8.99,0.2914,0.4144,0.3422,0.8578,167
637,10.0,0.2716,0.4293,0.3327,0.8578,173
955,14.99,0.2304,0.5459,0.324,0.8578,220
1274,19.99,0.2033,0.6427,0.3089,0.8578,259
1593,25.0,0.1896,0.7494,0.3026,0.8578,302
1911,29.99,0.1758,0.8337,0.2904,0.8578,336
2230,35.0,0.1561,0.8635,0.2643,0.8578,348
2548,39.99,0.1432,0.9057,0.2474,0.8578,365
2867,44.99,0.1329,0.9454,0.233,0.8578,381
3186,50.0,0.1218,0.9628,0.2162,0.8578,388
3823,60.0,0.1031,0.9777,0.1865,0.8578,394
4460,69.99,0.0897,0.9926,0.1645,0.8578,400
5097,79.99,0.0789,0.9975,0.1462,0.8578,402
5734,89.99,0.0703,1.0,0.1313,0.8578,403
6372,100.0,0.0632,1.0,0.119,0.8578,403
