Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.88,1.0,0.0606,0.1143,0.8304,4
9,1.99,1.0,0.1364,0.24,0.8304,9
13,2.88,1.0,0.197,0.3291,0.8304,13
18,3.98,0.9444,0.2576,0.4048,0.8304,17
22,4.87,0.9091,0.303,0.4545,0.8304,20
27,5.97,0.9259,0.3788,0.5376,0.8304,25
31,6.86,0.871,0.4091,0.5567,0.8304,27
36,7.96,0.8333,0.4545,0.5882,0.8304,30
40,8.85,0.75,0.4545,0.566,0.8304,30
45,9.96,0.7111,0.4848,0.5766,0.8304,32
67,14.82,0.5373,0.5455,0.5414,0.8304,36
90,19.91,0.4556,0.6212,0.5256,0.8304,41
113,25.0,0.3982,0.6818,0.5028,0.8304,45
135,29.87,0.3556,0.7273,0.4776,0.8304,48
158,34.96,0.3228,0.7727,0.4554,0.8304,51
180,39.82,0.2833,0.7727,0.4146,0.8304,51
203,44.91,0.266,0.8182,0.4015,0.8304,54
226,50.0,0.2434,0.8333,0.3767,0.8304,55
271,59.96,0.2177,0.8939,0.3501,0.8304,59
316,69.91,0.193,0.9242,0.3194,0.8304,61
361,79.87,0.1773,0.9697,0.2998,0.8304,64
406,89.82,0.1626,1.0,0.2797,0.8304,66
452,100.0,0.146,1.0,0.2548,0.8304,66
