Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.7833,0.0848,0.1531,0.908,47
121,1.98,0.7686,0.1679,0.2756,0.908,93
182,2.98,0.7308,0.2401,0.3614,0.908,133
243,3.98,0.6626,0.2906,0.404,0.908,161
304,4.98,0.6283,0.3448,0.4452,0.908,191
365,5.98,0.5973,0.3935,0.4744,0.908,218
426,6.98,0.5563,0.4278,0.4837,0.908,237
487,7.98,0.5092,0.4477,0.4765,0.908,248
548,8.99,0.4836,0.4783,0.4809,0.908,265
609,9.99,0.4647,0.5108,0.4867,0.908,283
914,14.99,0.3982,0.657,0.4959,0.908,364
1219,19.99,0.3511,0.7726,0.4828,0.908,428
1524,24.99,0.3045,0.8375,0.4466,0.908,464
1829,29.99,0.2723,0.8989,0.418,0.908,498
2134,34.99,0.2418,0.9314,0.3839,0.908,516
2439,39.99,0.2202,0.9693,0.3588,0.908,537
2744,44.99,0.199,0.9856,0.3311,0.908,546
3049,49.99,0.1801,0.991,0.3047,0.908,549
3659,59.99,0.1509,0.9964,0.262,0.908,552
4269,70.0,0.1293,0.9964,0.2289,0.908,552
4879,80.0,0.1131,0.9964,0.2032,0.908,552
5489,90.0,0.1006,0.9964,0.1827,0.908,552
6099,100.0,0.0908,1.0,0.1665,0.908,554
