Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,0.92,0.875,0.0795,0.1458,0.9858,7
17,1.95,0.8824,0.1705,0.2857,0.9858,15
26,2.98,0.8462,0.25,0.386,0.9858,22
34,3.9,0.8235,0.3182,0.459,0.9858,28
43,4.93,0.7907,0.3864,0.5191,0.9858,34
52,5.96,0.7308,0.4318,0.5429,0.9858,38
61,7.0,0.7541,0.5227,0.6174,0.9858,46
69,7.91,0.7536,0.5909,0.6624,0.9858,52
78,8.94,0.7308,0.6477,0.6867,0.9858,57
87,9.98,0.7241,0.7159,0.72,0.9858,63
130,14.91,0.6308,0.9318,0.7523,0.9858,82
174,19.95,0.4885,0.9659,0.6489,0.9858,85
218,25.0,0.3945,0.9773,0.5621,0.9858,86
261,29.93,0.3295,0.9773,0.4928,0.9858,86
305,34.98,0.2852,0.9886,0.4427,0.9858,87
348,39.91,0.25,0.9886,0.3991,0.9858,87
392,44.95,0.2219,0.9886,0.3625,0.9858,87
436,50.0,0.2018,1.0,0.3359,0.9858,88
523,59.98,0.1683,1.0,0.2881,0.9858,88
610,69.95,0.1443,1.0,0.2521,0.9858,88
697,79.93,0.1263,1.0,0.2242,0.9858,88
784,89.91,0.1122,1.0,0.2018,0.9858,88
872,100.0,0.1009,1.0,0.1833,0.9858,88
