Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.85,1.0,0.1176,0.2105,0.9953,4
9,1.92,0.8889,0.2353,0.3721,0.9953,8
14,2.99,0.8571,0.3529,0.5,0.9953,12
18,3.84,0.8889,0.4706,0.6154,0.9953,16
23,4.9,0.7826,0.5294,0.6316,0.9953,18
28,5.97,0.7857,0.6471,0.7097,0.9953,22
32,6.82,0.7812,0.7353,0.7576,0.9953,25
37,7.89,0.7297,0.7941,0.7606,0.9953,27
42,8.96,0.6905,0.8529,0.7632,0.9953,29
46,9.81,0.6957,0.9412,0.8,0.9953,32
70,14.93,0.4857,1.0,0.6538,0.9953,34
93,19.83,0.3656,1.0,0.5354,0.9953,34
117,24.95,0.2906,1.0,0.4503,0.9953,34
140,29.85,0.2429,1.0,0.3908,0.9953,34
164,34.97,0.2073,1.0,0.3434,0.9953,34
187,39.87,0.1818,1.0,0.3077,0.9953,34
211,44.99,0.1611,1.0,0.2776,0.9953,34
234,49.89,0.1453,1.0,0.2537,0.9953,34
281,59.91,0.121,1.0,0.2159,0.9953,34
328,69.94,0.1037,1.0,0.1878,0.9953,34
375,79.96,0.0907,1.0,0.1663,0.9953,34
422,89.98,0.0806,1.0,0.1491,0.9953,34
469,100.0,0.0725,1.0,0.1352,0.9953,34
