Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,5.89850424148608e-06,0,0,unlabeled
1,6.429477070923895e-05,0,0,unlabeled
2,0.00011183881724718958,0,0,unlabeled
3,8.339394116774201e-05,0,0,unlabeled
4,6.013091933709802e-06,0,0,unlabeled
5,1.7005277186399326e-05,0,0,unlabeled
6,6.482817843789235e-05,0,0,unlabeled
7,6.949035741854459e-05,0,0,unlabeled
8,2.155012043658644e-05,0,0,unlabeled
9,1.1377835107850842e-05,0,0,unlabeled
10,0.00013048455002717674,0,0,unlabeled
11,7.590620953124017e-05,0,0,unlabeled
12,0.0002533505030442029,0,0,unlabeled
13,0.001337967929430306,0,0,unlabeled
14,0.027444351464509964,0,0,unlabeled
15,4.970002919435501e-05,0,0,train
16,1.4546502825396601e-05,0,0,unlabeled
17,7.519828068325296e-05,0,0,unlabeled
18,3.913904947694391e-05,0,0,unlabeled
19,0.00012188868277007714,0,0,unlabeled
20,0.0006136101437732577,0,0,unlabeled
21,0.012077230960130692,0,0,unlabeled
22,2.594460966065526e-06,0,0,unlabeled
23,7.824368367437273e-06,0,0,train
24,6.84847473166883e-05,0,0,unlabeled
25,4.274636012269184e-06,0,0,unlabeled
26,3.860341166728176e-05,0,0,unlabeled
27,2.4009812477743253e-05,0,0,unlabeled
28,1.7369815168422065e-06,0,0,unlabeled
29,5.102675459056627e-06,0,0,train
30,4.681298742070794e-05,0,0,test
31,1.4660128726973198e-05,0,0,unlabeled
32,0.0001248703629244119,0,0,test
33,0.00036091177025809884,0,0,unlabeled
34,0.00015653588343411684,0,0,unlabeled
35,0.005110123194754124,0,0,unlabeled
36,0.24533915519714355,1,0,unlabeled
37,0.000993281020782888,0,0,unlabeled
38,0.0002633354451972991,0,0,unlabeled
39,0.0005853510228917003,0,0,unlabeled
40,3.632309380918741e-05,0,0,unlabeled
41,6.5186736719624605e-06,0,0,unlabeled
42,1.916181827255059e-05,0,0,unlabeled
43,1.7424799807486124e-05,0,0,train
44,0.0008333037258125842,0,0,train
45,0.0019260287517681718,0,0,unlabeled
46,0.0002919818216469139,0,0,unlabeled
47,0.0026512457989156246,0,0,unlabeled
48,0.0010730409994721413,0,0,unlabeled
49,2.2302474462776445e-05,0,0,train
50,9.609060725779273e-06,0,0,unlabeled
51,3.4476899600122124e-05,0,0,train
52,2.1941750674159266e-06,0,0,unlabeled
53,6.506463250843808e-06,0,0,unlabeled
54,4.272920250514289e-06,0,0,unlabeled
55,0.0014166447799652815,0,0,unlabeled
56,9.912833775160834e-05,0,0,train
57,0.0006210899446159601,0,0,unlabeled
58,8.589403250880423e-07,0,0,unlabeled
59,3.9428132367902435e-06,0,0,test
60,8.917642844608054e-06,0,0,unlabeled
61,1.647126191528514e-05,0,0,unlabeled
62,6.938024307601154e-05,0,0,unlabeled
63,8.761637673160294e-07,0,0,unlabeled
64,3.761481139008538e-06,0,0,unlabeled
65,6.694261173834093e-06,0,0,train
66,1.2264385077287443e-05,0,0,unlabeled
67,1.289872125198599e-05,0,0,val
68,4.9296446377411485e-05,0,0,unlabeled
69,0.007699992507696152,0,0,train
70,5.0386847760819364e-06,0,0,val
71,1.8315869965590537e-05,0,0,unlabeled
72,0.00015593254647683352,0,0,unlabeled
73,0.00010419703176012263,0,0,train
74,9.081564348889515e-05,0,0,unlabeled
75,4.305143647798104e-06,0,0,unlabeled
76,2.4732456950005144e-05,0,0,test
77,1.5585710571031086e-05,0,0,unlabeled
78,6.030490840203129e-05,0,0,train
79,0.0006654663011431694,0,0,unlabeled
80,0.9693286418914795,1,0,unlabeled
81,0.00048358325148001313,0,0,unlabeled
