Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
20,0.97,0.8,0.051,0.0958,0.9863,16
41,2.0,0.8049,0.1051,0.1859,0.9863,33
61,2.97,0.7869,0.1529,0.256,0.9863,48
82,4.0,0.8293,0.2166,0.3434,0.9863,68
102,4.97,0.8137,0.2643,0.399,0.9863,83
123,5.99,0.8211,0.3217,0.4622,0.9863,101
143,6.97,0.7902,0.3599,0.4945,0.9863,113
164,7.99,0.7988,0.4172,0.5481,0.9863,131
184,8.97,0.7989,0.4682,0.5904,0.9863,147
205,9.99,0.7902,0.5159,0.6243,0.9863,162
307,14.96,0.772,0.7548,0.7633,0.9863,237
410,19.98,0.7122,0.9299,0.8066,0.9863,292
513,25.0,0.5887,0.9618,0.7304,0.9863,302
615,29.97,0.4976,0.9745,0.6588,0.9863,306
718,34.99,0.429,0.9809,0.5969,0.9863,308
820,39.96,0.3768,0.9841,0.545,0.9863,309
923,44.98,0.3359,0.9873,0.5012,0.9863,310
1026,50.0,0.3031,0.9904,0.4642,0.9863,311
1231,59.99,0.2551,1.0,0.4065,0.9863,314
1436,69.98,0.2187,1.0,0.3589,0.9863,314
1641,79.97,0.1913,1.0,0.3212,0.9863,314
1846,89.96,0.1701,1.0,0.2907,0.9863,314
2052,100.0,0.153,1.0,0.2654,0.9863,314
