Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
14,0.95,0.7857,0.0219,0.0426,0.6976,11
29,1.97,0.7586,0.0437,0.0827,0.6976,22
44,2.99,0.7045,0.0616,0.1133,0.6976,31
58,3.94,0.7069,0.0815,0.1462,0.6976,41
73,4.96,0.6986,0.1014,0.1771,0.6976,51
88,5.97,0.6932,0.1213,0.2064,0.6976,61
103,6.99,0.6602,0.1352,0.2244,0.6976,68
117,7.94,0.641,0.1491,0.2419,0.6976,75
132,8.96,0.6212,0.163,0.2583,0.6976,82
147,9.98,0.6122,0.1789,0.2769,0.6976,90
220,14.94,0.5591,0.2445,0.3402,0.6976,123
294,19.96,0.5374,0.3141,0.3965,0.6976,158
368,24.98,0.4973,0.3638,0.4202,0.6976,183
441,29.94,0.4853,0.4254,0.4534,0.6976,214
515,34.96,0.4874,0.499,0.4931,0.6976,251
589,39.99,0.4788,0.5606,0.5165,0.6976,282
662,44.94,0.4758,0.6262,0.5408,0.6976,315
736,49.97,0.4579,0.67,0.544,0.6976,337
883,59.95,0.4349,0.7634,0.5541,0.6976,384
1031,69.99,0.4113,0.8429,0.5528,0.6976,424
1178,79.97,0.3871,0.9066,0.5425,0.6976,456
1325,89.95,0.366,0.9642,0.5306,0.6976,485
1473,100.0,0.3415,1.0,0.5091,0.6976,503
