Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.00033689546398818493,0,0,unlabeled
1,0.015446299687027931,0,0,unlabeled
2,0.8947834372520447,1,0,unlabeled
3,0.0002483233402017504,0,0,train
4,0.0009781407425180078,0,0,unlabeled
5,0.00212408066727221,0,0,train
6,0.0011202465975657105,0,0,unlabeled
7,0.2764163315296173,0,0,val
8,0.9972466230392456,1,0,unlabeled
9,0.0006845910684205592,0,0,train
10,0.9785659909248352,1,0,unlabeled
11,0.15399880707263947,0,0,unlabeled
12,0.031046701595187187,0,0,unlabeled
13,0.732479453086853,0,0,unlabeled
14,8.82793465279974e-05,0,0,unlabeled
15,0.6098735332489014,0,0,unlabeled
16,0.0006659945356659591,0,0,unlabeled
17,0.0010009444085881114,0,0,val
18,0.0008729388355277479,0,0,unlabeled
19,0.024506399407982826,0,0,unlabeled
20,0.00011150094360345975,0,0,unlabeled
21,0.014246867969632149,0,0,unlabeled
22,0.00011006731074303389,0,0,unlabeled
23,0.001071643433533609,0,0,unlabeled
24,0.0010131621966138482,0,0,train
25,0.0055604539811611176,0,0,train
26,5.429335215012543e-05,0,0,unlabeled
27,1.3013766874792054e-05,0,0,unlabeled
28,0.00010407042282167822,0,0,unlabeled
29,0.00013216101797297597,0,0,unlabeled
30,0.00027349783340469003,0,0,unlabeled
31,1.5092488865775522e-05,0,0,unlabeled
32,1.1876877579197753e-05,0,0,unlabeled
33,0.0002336939942324534,0,0,train
34,0.00010368628863943741,0,0,unlabeled
35,7.613485649926588e-05,0,0,unlabeled
36,0.002012526383623481,0,0,unlabeled
37,0.002776619978249073,0,0,unlabeled
38,0.18444722890853882,0,0,unlabeled
39,0.0033556753769516945,0,0,unlabeled
40,7.315441962418845e-06,0,0,unlabeled
41,9.611120913177729e-05,0,0,unlabeled
42,0.0005373529274947941,0,0,train
43,4.317115235608071e-05,0,0,unlabeled
44,5.4446878493763506e-05,0,0,unlabeled
45,4.8711237468523905e-05,0,0,train
46,0.0013070667628198862,0,0,train
47,0.005904025863856077,0,0,unlabeled
48,0.8890938758850098,0,0,unlabeled
49,0.9984651803970337,1,0,unlabeled
50,0.5403556227684021,0,0,unlabeled
51,0.018131498247385025,0,0,unlabeled
52,0.0017714333953335881,0,0,unlabeled
53,0.0005106174503453076,0,0,unlabeled
54,0.0009064179612323642,0,0,unlabeled
55,0.03450779244303703,0,0,unlabeled
56,0.001708507421426475,0,0,unlabeled
57,0.16000378131866455,0,0,val
58,0.41316431760787964,0,0,unlabeled
59,0.00033285675453953445,0,0,unlabeled
60,0.0028985566459596157,0,0,val
61,0.000370854715583846,0,0,unlabeled
62,0.5224048495292664,0,0,unlabeled
63,0.00010126725828740746,0,0,train
64,0.0003307531587779522,0,0,unlabeled
65,0.00011541605636011809,0,0,unlabeled
66,0.00024580900208093226,0,0,unlabeled
67,0.0033045948948711157,0,0,unlabeled
68,0.0002631125971674919,0,0,unlabeled
69,0.0001423203939339146,0,0,unlabeled
70,0.0001523222163086757,0,0,unlabeled
71,0.0006641250802204013,0,0,unlabeled
72,0.021585529670119286,0,0,unlabeled
73,0.00021390957408584654,0,0,train
74,0.0002487686288077384,0,0,unlabeled
75,0.0018491229275241494,0,0,train
76,0.00010358854342484847,0,0,unlabeled
77,0.00019373043323867023,0,0,train
78,2.3091133698471822e-05,0,0,train
79,0.0006321537657640874,0,0,unlabeled
80,0.0005362681695260108,0,0,unlabeled
81,0.000250358076300472,0,0,unlabeled
82,0.19208164513111115,0,0,val
83,5.052316191722639e-05,0,0,unlabeled
84,0.000542347552254796,0,0,val
85,0.0003959696623496711,0,0,unlabeled
86,4.145607817918062e-05,0,0,unlabeled
87,0.0003898994473274797,0,0,unlabeled
88,0.00551967928186059,0,0,unlabeled
89,0.067762091755867,0,0,unlabeled
90,0.00028625933919101954,0,0,train
91,0.0006821572897024453,0,0,unlabeled
92,0.00039786077104508877,0,0,unlabeled
93,0.01273752935230732,0,0,val
94,0.0039855982176959515,0,0,unlabeled
95,0.7390885949134827,0,0,unlabeled
96,8.261406037490815e-05,0,0,unlabeled
97,0.00207658763974905,0,0,unlabeled
98,0.003026627702638507,0,0,unlabeled
99,3.194185046595521e-05,0,0,unlabeled
100,0.005923036951571703,0,0,unlabeled
101,5.0098460633307695e-05,0,0,train
102,0.00012591057748068124,0,0,unlabeled
103,0.7648582458496094,0,0,unlabeled
104,7.078046473907307e-05,0,0,train
105,0.0037464583292603493,0,0,unlabeled
106,0.00035997916711494327,0,0,unlabeled
107,0.00021216514869593084,0,0,unlabeled
108,0.06141798570752144,0,0,unlabeled
109,0.062081754207611084,0,0,unlabeled
110,0.00028499847394414246,0,0,unlabeled
111,0.0006084884516894817,0,0,train
112,0.15842005610466003,0,0,unlabeled
113,0.0006599771440960467,0,0,unlabeled
114,0.00014755580923520029,0,0,unlabeled
115,0.00013522375957109034,0,0,unlabeled
116,0.22544746100902557,0,0,unlabeled
117,0.017273183912038803,0,0,unlabeled
118,0.0017663066973909736,0,0,train
119,0.00044590438483282924,0,0,train
120,0.9943195581436157,1,0,unlabeled
121,0.005832971539348364,0,0,unlabeled
122,0.9993439316749573,1,0,unlabeled
123,0.9616289734840393,1,0,unlabeled
124,7.694192754570395e-05,0,0,train
125,0.09864161163568497,0,0,unlabeled
126,0.0024835735093802214,0,0,train
127,0.7374237179756165,0,0,unlabeled
128,0.10804448276758194,0,0,unlabeled
129,0.00042928147013299167,0,0,unlabeled
130,0.297122985124588,0,0,unlabeled
131,0.005727954208850861,0,0,unlabeled
132,0.001000278047285974,0,0,unlabeled
133,2.3527409211965278e-05,0,0,unlabeled
134,0.00013655034126713872,0,0,unlabeled
135,0.04726412892341614,0,0,unlabeled
136,0.00011991614883299917,0,0,unlabeled
137,0.002483300631865859,0,0,unlabeled
138,0.00032656401162967086,0,0,unlabeled
139,8.028858428588137e-05,0,0,unlabeled
140,5.0141094106948e-05,0,0,unlabeled
141,0.0040728808380663395,0,0,unlabeled
142,0.0006668713758699596,0,0,unlabeled
143,0.00011851608724100515,0,0,unlabeled
144,0.0030301043298095465,0,0,train
145,0.003056681714951992,0,0,unlabeled
146,0.04332585632801056,0,0,unlabeled
147,0.0001878543698694557,0,0,train
148,0.003453070530667901,0,0,val
149,0.0002433186600683257,0,0,unlabeled
150,2.8375381589285098e-05,0,0,unlabeled
151,0.015343050472438335,0,0,unlabeled
152,0.0002084917068714276,0,0,unlabeled
153,0.0030697870533913374,0,0,unlabeled
154,0.0001785836648195982,0,0,train
155,0.0001571856118971482,0,0,val
156,0.0015365895815193653,0,0,unlabeled
157,0.013658793643116951,0,0,val
158,0.00028082021162845194,0,0,val
159,0.04042338207364082,0,0,unlabeled
160,0.000702987948898226,0,0,unlabeled
161,0.000434230052633211,0,0,unlabeled
162,0.00021678202028851956,0,0,unlabeled
163,0.00023944862186908722,0,0,train
164,0.6851414442062378,0,0,unlabeled
165,0.00013269415649119765,0,0,unlabeled
166,0.0002451332984492183,0,0,unlabeled
167,0.12206324189901352,0,0,unlabeled
168,0.0005239169695414603,0,0,train
169,0.3737901747226715,0,0,unlabeled
170,0.0005094975931569934,0,0,unlabeled
171,3.278729855082929e-05,0,0,unlabeled
172,0.051418159157037735,0,0,unlabeled
173,0.005019659176468849,0,0,unlabeled
174,0.00019973007147200406,0,0,unlabeled
175,0.0035080579109489918,0,0,unlabeled
176,0.8808444738388062,0,0,unlabeled
177,0.1013576090335846,0,0,unlabeled
178,0.0006491909734904766,0,0,unlabeled
179,0.0013019999023526907,0,0,train
180,0.9996726512908936,1,0,unlabeled
181,0.00010823279444593936,0,0,unlabeled
182,0.31201326847076416,0,0,unlabeled
183,0.0001301045122090727,0,0,val
184,0.000472707994049415,0,0,unlabeled
185,0.0003124182694591582,0,0,unlabeled
186,0.00040205608820542693,0,0,unlabeled
187,5.105811942485161e-05,0,0,unlabeled
188,0.0010335186962038279,0,0,unlabeled
189,0.00018705362163018435,0,0,unlabeled
190,0.0002516331151127815,0,0,unlabeled
191,0.00021067644411232322,0,0,unlabeled
192,0.00015126477228477597,0,0,unlabeled
193,0.4990072250366211,0,0,unlabeled
194,4.3112115235999227e-05,0,0,train
195,0.00010960176587104797,0,0,train
196,0.00017012930766213685,0,0,train
197,0.0002616706187836826,0,0,unlabeled
198,0.0026379642076790333,0,0,train
199,0.001091804588213563,0,0,unlabeled
200,0.005494321696460247,0,0,unlabeled
201,0.0005402298993431032,0,0,unlabeled
202,0.00015631335554644465,0,0,unlabeled
203,3.4430540836183354e-05,0,0,unlabeled
204,0.0004628605383913964,0,0,unlabeled
205,0.0002529802150093019,0,0,unlabeled
206,0.0015344716375693679,0,0,unlabeled
207,0.0030392534099519253,0,0,unlabeled
208,0.9959390163421631,1,0,unlabeled
209,0.0011690797982737422,0,0,train
210,0.5172781348228455,0,0,unlabeled
211,0.9981324076652527,1,0,unlabeled
212,0.9985622763633728,1,0,unlabeled
213,0.002904938766732812,0,0,train
214,0.998187243938446,1,0,unlabeled
215,0.9997372031211853,1,0,unlabeled
216,0.31480684876441956,0,0,unlabeled
217,0.9990756511688232,1,1,unlabeled
218,0.9996711015701294,1,1,unlabeled
219,0.9990209341049194,1,1,unlabeled
220,0.0729895606637001,0,1,unlabeled
221,0.4474388062953949,0,1,unlabeled
222,0.7423030138015747,0,1,unlabeled
223,0.9162448048591614,1,1,unlabeled
224,0.6188734173774719,0,1,unlabeled
225,0.6831039190292358,0,1,unlabeled
226,0.9989683628082275,1,1,train
227,0.9987795948982239,1,1,train
228,0.9129855632781982,1,1,unlabeled
229,0.9984607696533203,1,1,unlabeled
230,0.9999866485595703,1,1,unlabeled
231,0.9967101812362671,1,1,unlabeled
232,0.9856876730918884,1,1,unlabeled
233,0.9998435974121094,1,1,unlabeled
234,0.9440280795097351,1,1,unlabeled
235,0.985288679599762,1,1,unlabeled
236,0.9994353652000427,1,1,unlabeled
237,0.9929530024528503,1,1,unlabeled
238,0.9978147745132446,1,1,unlabeled
239,0.9992903470993042,1,1,unlabeled
240,0.9992983341217041,1,1,unlabeled
241,0.0017723416676744819,0,1,unlabeled
242,0.1729210913181305,0,1,unlabeled
243,0.9929407835006714,1,1,unlabeled
244,0.006081939674913883,0,1,unlabeled
245,0.9999508857727051,1,1,train
246,0.8146138191223145,0,1,unlabeled
247,0.9998316764831543,1,1,train
248,0.9999972581863403,1,1,unlabeled
249,0.9999459981918335,1,1,unlabeled
250,0.9537314772605896,1,1,unlabeled
251,0.08176939934492111,0,1,unlabeled
252,0.9999876022338867,1,1,unlabeled
253,0.9396455883979797,1,1,unlabeled
254,0.744015634059906,0,1,unlabeled
255,0.9676249623298645,1,1,unlabeled
256,0.9998019337654114,1,1,train
257,0.7831661105155945,0,1,unlabeled
258,0.9990690350532532,1,1,unlabeled
259,0.9979825019836426,1,1,unlabeled
260,0.9133323431015015,1,1,unlabeled
261,0.9998952150344849,1,1,unlabeled
262,0.9998971223831177,1,1,unlabeled
263,0.9999802112579346,1,1,unlabeled
264,0.9998157620429993,1,1,unlabeled
265,0.9957358837127686,1,1,unlabeled
266,0.9963713884353638,1,1,unlabeled
267,0.9975019097328186,1,1,unlabeled
268,0.9999566078186035,1,1,train
269,0.9943966865539551,1,1,unlabeled
270,0.99982750415802,1,1,unlabeled
271,0.9994747042655945,1,1,val
272,0.8719817996025085,0,1,unlabeled
273,0.0407438650727272,0,1,unlabeled
274,0.9927090406417847,1,1,unlabeled
275,0.9998695850372314,1,1,train
276,0.9913687109947205,1,1,unlabeled
277,0.9999836683273315,1,1,unlabeled
278,0.9998001456260681,1,1,val
279,0.9876962304115295,1,1,unlabeled
280,0.9999289512634277,1,1,unlabeled
281,0.994703471660614,1,1,unlabeled
282,0.22042420506477356,0,1,unlabeled
283,0.8966181874275208,1,1,unlabeled
284,0.2817066013813019,0,1,unlabeled
285,0.9406081438064575,1,1,unlabeled
286,0.8918041586875916,1,1,val
287,0.14747823774814606,0,1,unlabeled
288,0.9993100166320801,1,1,train
289,0.002659968798980117,0,1,unlabeled
290,0.9998905658721924,1,1,train
291,0.9916368126869202,1,1,unlabeled
292,0.9998801946640015,1,1,train
293,0.9999340772628784,1,1,unlabeled
294,0.9994478821754456,1,1,train
295,0.9992901086807251,1,1,train
296,0.9997766613960266,1,1,unlabeled
297,0.9998489618301392,1,1,train
298,0.9990206956863403,1,1,unlabeled
299,0.12167443335056305,0,1,unlabeled
300,0.12601524591445923,0,1,unlabeled
301,0.9994816184043884,1,1,unlabeled
302,0.926241934299469,1,1,unlabeled
303,0.9999752044677734,1,1,unlabeled
304,0.9995716214179993,1,1,unlabeled
305,0.999344527721405,1,1,train
306,0.9948315620422363,1,1,unlabeled
307,0.32514557242393494,0,1,unlabeled
308,0.8939166069030762,1,1,unlabeled
309,0.8899722695350647,0,1,unlabeled
310,0.9990096092224121,1,1,unlabeled
311,0.17265744507312775,0,1,unlabeled
312,0.9936597943305969,1,1,unlabeled
313,0.9302915334701538,1,1,unlabeled
314,0.9985615611076355,1,1,unlabeled
315,0.0711299329996109,0,1,unlabeled
316,0.9938714504241943,1,1,unlabeled
317,0.9965900182723999,1,1,unlabeled
318,0.9781154990196228,1,1,unlabeled
319,0.999750554561615,1,1,unlabeled
320,0.9978958368301392,1,1,unlabeled
321,0.9999558925628662,1,1,unlabeled
322,0.9733438491821289,1,1,unlabeled
323,0.023590989410877228,0,0,unlabeled
324,0.00021583106718026102,0,0,unlabeled
325,0.0009625748498365283,0,0,unlabeled
326,0.6134112477302551,0,0,unlabeled
327,0.9938051700592041,1,0,unlabeled
328,0.00027108172071166337,0,0,train
329,0.001233992981724441,0,0,train
330,0.00020445973495952785,0,0,unlabeled
331,0.00029777869349345565,0,0,unlabeled
332,0.00020343046344351023,0,0,train
333,2.6479303414816968e-05,0,0,unlabeled
334,6.347210728563368e-05,0,0,unlabeled
335,0.7411390542984009,0,0,unlabeled
336,0.00018564672791399062,0,0,unlabeled
337,0.004445257596671581,0,0,unlabeled
338,1.5105762940947898e-05,0,0,train
339,0.014795731753110886,0,0,unlabeled
340,0.0007078824564814568,0,0,unlabeled
341,0.0010002118069678545,0,0,unlabeled
342,0.0007716479594819248,0,0,unlabeled
343,0.00030180063913576305,0,0,train
344,0.9967318773269653,1,0,val
345,0.009197907522320747,0,0,unlabeled
346,0.000552659563254565,0,0,unlabeled
347,0.6282937526702881,0,0,unlabeled
348,0.00010040964116342366,0,0,unlabeled
349,0.0004816327418666333,0,0,unlabeled
350,0.00028873109840787947,0,0,unlabeled
351,0.00029203668236732483,0,0,train
352,0.00013123787357471883,0,0,unlabeled
353,0.0011146600591018796,0,0,unlabeled
354,0.004209059756249189,0,0,unlabeled
355,0.0037790811620652676,0,0,unlabeled
356,0.0005916026420891285,0,1,val
357,0.9978298544883728,1,1,train
358,0.006048382259905338,0,1,unlabeled
359,0.10841236263513565,0,1,unlabeled
360,0.03646499663591385,0,1,unlabeled
361,0.9963160157203674,1,1,train
362,0.00048603181494399905,0,1,val
363,0.5360591411590576,0,1,unlabeled
364,0.9987035989761353,1,1,train
365,0.005893900990486145,0,1,unlabeled
