Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.92,1.0,0.0312,0.0606,0.9467,4
8,1.84,1.0,0.0625,0.1176,0.9467,8
13,2.99,1.0,0.1016,0.1844,0.9467,13
17,3.91,1.0,0.1328,0.2345,0.9467,17
21,4.83,1.0,0.1641,0.2819,0.9467,21
26,5.98,0.9615,0.1953,0.3247,0.9467,25
30,6.9,0.9333,0.2188,0.3544,0.9467,28
34,7.82,0.9118,0.2422,0.3827,0.9467,31
39,8.97,0.8974,0.2734,0.4192,0.9467,35
43,9.89,0.907,0.3047,0.4561,0.9467,39
65,14.94,0.8769,0.4453,0.5907,0.9467,57
87,20.0,0.8966,0.6094,0.7256,0.9467,78
108,24.83,0.8704,0.7344,0.7966,0.9467,94
130,29.89,0.8231,0.8359,0.8295,0.9467,107
152,34.94,0.75,0.8906,0.8143,0.9467,114
174,40.0,0.6897,0.9375,0.7947,0.9467,120
195,44.83,0.6308,0.9609,0.7616,0.9467,123
217,49.89,0.5714,0.9688,0.7188,0.9467,124
261,60.0,0.4828,0.9844,0.6478,0.9467,126
304,69.89,0.4145,0.9844,0.5833,0.9467,126
348,80.0,0.3649,0.9922,0.5336,0.9467,127
391,89.89,0.3274,1.0,0.4933,0.9467,128
435,100.0,0.2943,1.0,0.4547,0.9467,128
