Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,6.607936666114256e-05,0,0,unlabeled
1,0.10582554340362549,1,1,unlabeled
2,0.001096310093998909,0,0,unlabeled
3,0.482688307762146,1,0,val
4,0.004464981146156788,0,1,unlabeled
5,5.899792654417979e-07,0,0,unlabeled
6,0.00018836608796846122,0,0,unlabeled
7,3.917362846550532e-05,0,0,unlabeled
8,5.742349003412528e-06,0,0,train
9,0.0011839426588267088,0,1,unlabeled
10,0.010592255741357803,1,1,unlabeled
11,0.6618455648422241,1,1,unlabeled
12,0.0015744735719636083,0,0,unlabeled
13,0.02467559091746807,1,1,unlabeled
14,0.34308382868766785,1,0,unlabeled
15,0.9966805577278137,1,1,train
16,0.00014364202797878534,0,0,unlabeled
17,0.00025243210257031024,0,0,val
18,1.82279763976112e-05,0,0,unlabeled
19,1.466360004087619e-06,0,0,unlabeled
20,0.003637273795902729,0,0,unlabeled
21,0.0005980822606943548,0,0,unlabeled
22,0.0009427458280697465,0,0,unlabeled
23,2.963469967198762e-07,0,0,unlabeled
24,5.311507629812695e-05,0,0,unlabeled
25,0.0003517037257552147,0,0,unlabeled
26,0.01790717802941799,1,0,unlabeled
27,0.007317567244172096,1,0,unlabeled
28,7.404937107935439e-09,0,0,unlabeled
29,0.38295841217041016,1,0,unlabeled
30,3.63293984264601e-05,0,0,unlabeled
31,5.002711532142712e-06,0,0,train
32,0.004915447905659676,0,0,unlabeled
33,4.172032276983373e-06,0,0,unlabeled
34,4.752272070618346e-05,0,0,unlabeled
35,0.0053552002646028996,0,0,unlabeled
36,1.6991189113468863e-05,0,0,unlabeled
37,3.672538923638058e-06,0,0,train
38,2.712571222218685e-05,0,0,train
39,0.0013489659177139401,0,0,unlabeled
40,0.00311634736135602,0,0,unlabeled
41,6.805046723457053e-05,0,0,unlabeled
42,0.0005576899857260287,0,0,unlabeled
43,9.203899389831349e-05,0,0,unlabeled
44,0.002686192514374852,0,0,unlabeled
45,0.0009194515878334641,0,0,unlabeled
46,0.0014150463975965977,0,0,val
47,0.0010415591532364488,0,0,unlabeled
48,1.0927438154340052e-07,0,0,train
49,1.1691854524542578e-05,0,0,unlabeled
50,0.004282027017325163,0,0,unlabeled
51,0.005993605125695467,1,0,train
52,2.2674303323810818e-08,0,0,unlabeled
53,5.2493949624476954e-05,0,0,unlabeled
54,0.049534644931554794,1,0,unlabeled
55,7.560845460830024e-07,0,0,unlabeled
56,0.0034237534273415804,0,0,val
57,7.799126251484267e-07,0,0,unlabeled
58,0.0007655322551727295,0,0,unlabeled
59,3.153777288389392e-05,0,0,unlabeled
60,3.348407335579395e-05,0,0,unlabeled
61,0.00016099191270768642,0,0,val
62,0.0001206738015753217,0,0,val
63,0.00031606393167749047,0,0,train
64,0.8433887958526611,1,0,unlabeled
65,1.0294097592122853e-05,0,0,unlabeled
66,0.010530456900596619,1,0,unlabeled
67,1.0083668712468352e-05,0,0,train
68,0.00021077327255625278,0,0,unlabeled
69,0.0008286407100968063,0,0,unlabeled
70,0.035727981477975845,1,0,train
71,3.188474238413619e-06,0,0,unlabeled
72,0.13168367743492126,1,0,train
73,0.11219704896211624,1,0,unlabeled
74,0.0006236346671357751,0,0,unlabeled
75,0.00404568063095212,0,0,unlabeled
76,4.2798579670488834e-05,0,1,unlabeled
77,0.08552303910255432,1,0,val
78,3.0320679798023775e-06,0,0,train
79,0.03415212035179138,1,1,val
80,0.0005737916217185557,0,0,unlabeled
81,5.630597297567874e-05,0,0,train
82,0.21751557290554047,1,0,unlabeled
83,5.312743815011345e-05,0,0,unlabeled
84,5.621967375191161e-06,0,0,unlabeled
85,0.7618581652641296,1,0,val
86,0.01320411916822195,1,0,train
87,0.004058689810335636,0,0,train
88,2.300621986250917e-07,0,0,unlabeled
89,0.00012822294957004488,0,1,unlabeled
90,0.00012193017755635083,0,1,unlabeled
91,0.07005207985639572,1,0,unlabeled
92,0.0005753510631620884,0,0,train
93,4.6533696007600156e-08,0,0,unlabeled
94,9.024575774674304e-06,0,0,unlabeled
95,0.04835335537791252,1,0,unlabeled
96,0.09412022680044174,1,0,unlabeled
97,1.3917743672209326e-05,0,1,unlabeled
98,9.527944348519668e-05,0,0,train
99,7.88176475907676e-06,0,0,unlabeled
100,0.9985600113868713,1,1,train
101,0.011121243238449097,1,0,unlabeled
102,0.03368273377418518,1,1,unlabeled
103,8.369416718778666e-06,0,0,unlabeled
104,0.012326379306614399,1,1,unlabeled
105,4.149875167058781e-05,0,0,train
106,0.0008460846147499979,0,0,unlabeled
107,1.917110239446629e-05,0,0,unlabeled
108,0.16176141798496246,1,0,unlabeled
109,0.0004057945916429162,0,0,unlabeled
110,0.0002412631583865732,0,0,unlabeled
111,0.03701794520020485,1,0,unlabeled
112,0.0007448746473528445,0,0,unlabeled
113,1.0088217095471919e-05,0,0,unlabeled
114,0.06807291507720947,1,0,unlabeled
115,9.3305725386017e-06,0,0,unlabeled
116,3.501151468299213e-06,0,0,train
117,3.2795713195810094e-05,0,0,unlabeled
118,0.0020556238014250994,0,0,unlabeled
119,1.8217826891486766e-07,0,0,unlabeled
120,0.3010024130344391,1,0,unlabeled
121,0.8632073998451233,1,0,unlabeled
122,0.12338849157094955,1,0,unlabeled
123,0.7286975383758545,1,0,val
124,0.0018931303638964891,0,0,train
125,8.261666516773403e-05,0,0,train
126,0.6646260023117065,1,0,unlabeled
127,2.9267321224324405e-05,0,0,unlabeled
128,4.388518391351681e-06,0,0,unlabeled
129,7.866949090384878e-06,0,0,unlabeled
130,0.01125231385231018,1,0,unlabeled
131,0.00036327025736682117,0,0,unlabeled
132,0.03319291025400162,1,0,unlabeled
133,3.695666600833647e-05,0,0,train
134,0.0007458181935362518,0,0,unlabeled
135,7.958287460496649e-05,0,0,val
136,7.156292667787056e-06,0,0,unlabeled
137,4.1421935748076066e-05,0,0,unlabeled
138,0.009936005808413029,1,0,unlabeled
139,1.7227990610990673e-05,0,0,unlabeled
140,2.3024682377581485e-05,0,0,unlabeled
141,5.43595633644145e-05,0,0,unlabeled
142,2.1817868400830775e-06,0,0,unlabeled
143,0.0025975715834647417,0,0,unlabeled
144,0.1274956911802292,1,0,unlabeled
145,7.479457417502999e-05,0,0,unlabeled
146,0.9971362352371216,1,1,train
147,9.171754209091887e-05,0,0,train
148,0.8280691504478455,1,1,unlabeled
149,0.009961706586182117,1,0,val
150,0.004608585499227047,0,0,train
151,0.006148357409983873,1,0,unlabeled
152,0.051957812160253525,1,0,train
153,5.716590862903104e-07,0,0,train
154,0.0017298185266554356,0,0,unlabeled
155,3.91231915273238e-05,0,0,unlabeled
156,0.0004314321849960834,0,0,unlabeled
157,0.0018264333484694362,0,0,unlabeled
158,0.0001357576111331582,0,0,unlabeled
159,2.0511859588623338e-07,0,0,unlabeled
160,1.7030019989761058e-06,0,0,unlabeled
161,6.160705379443243e-05,0,0,unlabeled
