Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,1.0,0.125,0.0122,0.0222,0.6955,1
16,2.0,0.125,0.0244,0.0408,0.6955,2
24,3.0,0.1667,0.0488,0.0755,0.6955,4
32,4.0,0.2188,0.0854,0.1228,0.6955,7
40,5.0,0.275,0.1341,0.1803,0.6955,11
48,6.0,0.2708,0.1585,0.2,0.6955,13
56,7.0,0.2321,0.1585,0.1884,0.6955,13
64,8.0,0.2188,0.1707,0.1918,0.6955,14
72,9.0,0.1944,0.1707,0.1818,0.6955,14
80,10.0,0.1875,0.1829,0.1852,0.6955,15
120,15.0,0.1833,0.2683,0.2178,0.6955,22
160,20.0,0.2,0.3902,0.2645,0.6955,32
200,25.0,0.215,0.5244,0.305,0.6955,43
240,30.0,0.1875,0.5488,0.2795,0.6955,45
280,35.0,0.1821,0.622,0.2818,0.6955,51
320,40.0,0.1656,0.6463,0.2637,0.6955,53
360,45.0,0.1556,0.6829,0.2534,0.6955,56
400,50.0,0.15,0.7317,0.249,0.6955,60
480,60.0,0.1437,0.8415,0.2456,0.6955,69
560,70.0,0.1286,0.878,0.2243,0.6955,72
640,80.0,0.1219,0.9512,0.2161,0.6955,78
720,90.0,0.1125,0.9878,0.202,0.6955,81
800,100.0,0.1025,1.0,0.1859,0.6955,82
