Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,0.0,0.0,0.0,0.8584,0
4,1.87,0.0,0.0,0.0,0.8584,0
6,2.8,0.3333,0.0645,0.1081,0.8584,2
8,3.74,0.25,0.0645,0.1026,0.8584,2
10,4.67,0.3,0.0968,0.1463,0.8584,3
12,5.61,0.4167,0.1613,0.2326,0.8584,5
14,6.54,0.4286,0.1935,0.2667,0.8584,6
17,7.94,0.4706,0.2581,0.3333,0.8584,8
19,8.88,0.4737,0.2903,0.36,0.8584,9
21,9.81,0.5238,0.3548,0.4231,0.8584,11
32,14.95,0.5625,0.5806,0.5714,0.8584,18
42,19.63,0.4524,0.6129,0.5205,0.8584,19
53,24.77,0.3774,0.6452,0.4762,0.8584,20
64,29.91,0.3594,0.7419,0.4842,0.8584,23
74,34.58,0.3378,0.8065,0.4762,0.8584,25
85,39.72,0.3059,0.8387,0.4483,0.8584,26
96,44.86,0.2708,0.8387,0.4094,0.8584,26
107,50.0,0.2617,0.9032,0.4058,0.8584,28
128,59.81,0.2422,1.0,0.3899,0.8584,31
149,69.63,0.2081,1.0,0.3444,0.8584,31
171,79.91,0.1813,1.0,0.3069,0.8584,31
192,89.72,0.1615,1.0,0.278,0.8584,31
214,100.0,0.1449,1.0,0.2531,0.8584,31
