Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.0004322260501794517,0,0,val
1,0.042966313660144806,0,0,unlabeled
2,0.010920317843556404,0,0,unlabeled
3,0.00015109666856005788,0,0,unlabeled
4,0.00024081110314000398,0,0,train
5,0.0006363294669426978,0,0,unlabeled
6,0.7823794484138489,0,1,unlabeled
7,0.0004484087403398007,0,0,unlabeled
8,0.00018375618674326688,0,0,unlabeled
9,0.00039895399822853506,0,0,unlabeled
10,9.998102905228734e-05,0,0,unlabeled
11,0.001272369408980012,0,0,train
12,7.232362258946523e-05,0,0,train
13,0.00016943286755122244,0,0,unlabeled
14,0.0002907703456003219,0,0,unlabeled
15,0.12117074429988861,0,0,unlabeled
16,0.010996201075613499,0,0,unlabeled
17,0.00029230216750875115,0,0,unlabeled
18,0.045836128294467926,0,0,unlabeled
19,0.00014053116319701076,0,0,train
20,0.000174170927493833,0,0,unlabeled
21,0.047894611954689026,0,0,unlabeled
22,0.0004167169099673629,0,0,unlabeled
23,0.002120266668498516,0,0,unlabeled
24,5.572197915171273e-05,0,0,unlabeled
25,0.005256013944745064,0,0,train
26,0.014728697016835213,0,0,unlabeled
27,0.0005913139902986586,0,0,train
28,0.0009033899987116456,0,0,unlabeled
29,0.003547610715031624,0,0,unlabeled
30,0.00010860571637749672,0,1,unlabeled
31,0.024399753659963608,0,1,unlabeled
32,0.00016120773216243833,0,0,unlabeled
33,1.0984116670442745e-05,0,0,unlabeled
34,0.009712143801152706,0,0,val
35,0.9876264929771423,0,1,train
36,0.0006372112547978759,0,0,unlabeled
37,0.011063434183597565,0,0,unlabeled
38,0.0009201308130286634,0,0,unlabeled
39,0.31343331933021545,0,0,unlabeled
40,0.0006910954834893346,0,0,unlabeled
41,0.009617447853088379,0,0,unlabeled
42,0.0012739325175061822,0,0,unlabeled
43,0.014805570244789124,0,0,unlabeled
44,0.0005347275291569531,0,0,train
45,0.008238411508500576,0,0,unlabeled
46,0.01610925979912281,0,0,unlabeled
47,5.457667612063233e-06,0,0,unlabeled
48,0.0006322893314063549,0,0,train
49,0.025640441104769707,0,0,train
50,0.0014057543594390154,0,0,unlabeled
51,0.0012362411944195628,0,0,val
52,0.00027705481625162065,0,0,unlabeled
53,3.741828550118953e-05,0,0,unlabeled
54,0.010369336232542992,0,0,unlabeled
55,0.00942148081958294,0,0,unlabeled
56,0.013201219029724598,0,0,unlabeled
57,0.000257352163316682,0,0,train
58,0.0004408381355460733,0,0,unlabeled
59,0.0016650399193167686,0,0,val
60,0.0007114316686056554,0,0,train
61,0.00029137253295630217,0,0,unlabeled
62,0.617743968963623,0,0,unlabeled
63,0.00013257248792797327,0,0,unlabeled
64,0.008207219652831554,0,0,unlabeled
65,0.000688383006490767,0,0,unlabeled
66,0.00220119790174067,0,0,train
67,0.9145998954772949,0,1,unlabeled
68,0.045280829071998596,0,0,unlabeled
69,0.03239598125219345,0,0,unlabeled
70,0.0009473491227254272,0,0,unlabeled
71,0.26301640272140503,0,1,unlabeled
72,0.0018714205361902714,0,0,val
73,0.00107506790664047,0,0,unlabeled
74,0.0009418780100531876,0,0,unlabeled
75,0.003569910302758217,0,0,unlabeled
76,0.0025008791126310825,0,1,unlabeled
77,8.5601641330868e-06,0,0,unlabeled
78,0.4236680865287781,0,0,unlabeled
79,0.001129106734879315,0,0,unlabeled
80,0.006598107982426882,0,0,unlabeled
81,0.0001400356850354001,0,0,unlabeled
82,0.0005507772439159453,0,0,unlabeled
83,0.0005719504551962018,0,0,train
84,0.001145477406680584,0,0,train
85,0.0015112924156710505,0,0,unlabeled
86,0.5836960673332214,0,1,unlabeled
87,0.4457854628562927,0,1,unlabeled
88,0.9133239388465881,0,1,unlabeled
89,0.0556567944586277,0,0,unlabeled
90,0.005288728512823582,0,0,unlabeled
91,0.9961840510368347,0,1,train
92,0.0340225026011467,0,0,unlabeled
93,0.06163517013192177,0,0,unlabeled
94,0.5350285172462463,0,1,unlabeled
95,0.008774582296609879,0,0,unlabeled
96,0.2875317335128784,0,0,unlabeled
97,0.9701027870178223,0,0,unlabeled
98,0.9972690939903259,1,1,train
99,0.6057607531547546,0,0,unlabeled
100,0.9450589418411255,0,1,unlabeled
101,0.03292418643832207,0,0,unlabeled
102,0.00042994922841899097,0,0,unlabeled
103,0.026317067444324493,0,0,train
104,0.019528646022081375,0,1,unlabeled
105,0.05824398249387741,0,0,unlabeled
106,0.9937872886657715,0,1,unlabeled
107,0.003124199341982603,0,0,train
108,0.00018214034207630903,0,0,unlabeled
109,0.9506500959396362,0,1,unlabeled
110,3.230834408896044e-05,0,0,train
111,0.9567003846168518,0,1,unlabeled
112,0.5388585925102234,0,0,unlabeled
113,0.0003014181856997311,0,0,unlabeled
114,0.026319866999983788,0,0,unlabeled
115,0.005214146338403225,0,0,unlabeled
116,0.3059689402580261,0,0,unlabeled
117,0.020540112629532814,0,0,unlabeled
118,0.9968644976615906,1,1,val
119,0.007319846656173468,0,0,train
120,0.9883296489715576,0,1,train
121,0.9858294129371643,0,0,unlabeled
122,0.0165623240172863,0,0,unlabeled
123,0.9875741600990295,0,0,unlabeled
124,0.011962788179516792,0,0,unlabeled
125,0.16165882349014282,0,0,unlabeled
126,0.990729033946991,0,0,unlabeled
127,0.0013886012602597475,0,1,unlabeled
128,0.9381340742111206,0,0,unlabeled
129,0.9995133876800537,1,1,unlabeled
130,0.3023645281791687,0,0,val
131,0.7918768525123596,0,1,unlabeled
132,0.06549017131328583,0,0,unlabeled
133,0.00021823561110068113,0,0,unlabeled
134,8.486224396619946e-05,0,1,unlabeled
135,0.0860755443572998,0,0,unlabeled
136,0.5179073214530945,0,0,unlabeled
137,0.035284265875816345,0,0,unlabeled
138,0.658441960811615,0,1,unlabeled
139,0.0010886078234761953,0,0,unlabeled
140,0.3900090456008911,0,0,unlabeled
141,0.9966482520103455,0,1,train
142,0.012723367661237717,0,0,train
143,0.9975330829620361,1,1,unlabeled
144,0.9837393164634705,0,1,unlabeled
145,0.26581883430480957,0,0,unlabeled
146,0.025133995339274406,0,1,unlabeled
147,0.016564365476369858,0,1,unlabeled
148,0.023286012932658195,0,0,unlabeled
149,0.03222692385315895,0,0,unlabeled
150,0.9941989183425903,0,1,unlabeled
151,0.00039519282290712,0,0,unlabeled
152,0.9847550392150879,0,0,unlabeled
153,0.9283146858215332,0,0,unlabeled
154,0.9929053783416748,0,1,unlabeled
