Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.65,1.0,0.0385,0.0741,0.7877,1
3,1.94,0.6667,0.0769,0.1379,0.7877,2
4,2.58,0.5,0.0769,0.1333,0.7877,2
6,3.87,0.3333,0.0769,0.125,0.7877,2
7,4.52,0.4286,0.1154,0.1818,0.7877,3
9,5.81,0.5556,0.1923,0.2857,0.7877,5
10,6.45,0.5,0.1923,0.2778,0.7877,5
12,7.74,0.4167,0.1923,0.2632,0.7877,5
13,8.39,0.3846,0.1923,0.2564,0.7877,5
15,9.68,0.3333,0.1923,0.2439,0.7877,5
23,14.84,0.4348,0.3846,0.4082,0.7877,10
31,20.0,0.4839,0.5769,0.5263,0.7877,15
38,24.52,0.4474,0.6538,0.5312,0.7877,17
46,29.68,0.3913,0.6923,0.5,0.7877,18
54,34.84,0.3333,0.6923,0.45,0.7877,18
62,40.0,0.3065,0.7308,0.4318,0.7877,19
69,44.52,0.3188,0.8462,0.4632,0.7877,22
77,49.68,0.2857,0.8462,0.4272,0.7877,22
93,60.0,0.2473,0.8846,0.3866,0.7877,23
108,69.68,0.2222,0.9231,0.3582,0.7877,24
124,80.0,0.1935,0.9231,0.32,0.7877,24
139,89.68,0.1727,0.9231,0.2909,0.7877,24
155,100.0,0.1677,1.0,0.2873,0.7877,26
