Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,1.0,0.0,0.0,0.0,0.7086,0
6,2.0,0.0,0.0,0.0,0.7086,0
9,3.0,0.1111,0.0127,0.0227,0.7086,1
12,4.0,0.0833,0.0127,0.022,0.7086,1
15,5.0,0.0667,0.0127,0.0213,0.7086,1
18,6.0,0.1111,0.0253,0.0412,0.7086,2
21,7.0,0.2381,0.0633,0.1,0.7086,5
24,8.0,0.3333,0.1013,0.1553,0.7086,8
27,9.0,0.3333,0.1139,0.1698,0.7086,9
30,10.0,0.3667,0.1392,0.2018,0.7086,11
45,15.0,0.4222,0.2405,0.3065,0.7086,19
60,20.0,0.4167,0.3165,0.3597,0.7086,25
75,25.0,0.4267,0.4051,0.4156,0.7086,32
90,30.0,0.4222,0.481,0.4497,0.7086,38
105,35.0,0.4095,0.5443,0.4674,0.7086,43
120,40.0,0.4,0.6076,0.4824,0.7086,48
135,45.0,0.363,0.6203,0.4579,0.7086,49
150,50.0,0.3667,0.6962,0.4803,0.7086,55
180,60.0,0.35,0.7975,0.4865,0.7086,63
210,70.0,0.3476,0.9241,0.5052,0.7086,73
240,80.0,0.3167,0.962,0.4765,0.7086,76
270,90.0,0.2889,0.9873,0.447,0.7086,78
300,100.0,0.2633,1.0,0.4169,0.7086,79
