Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.005972565617412329,0,1,unlabeled
1,0.17202366888523102,1,0,train
2,0.9902119040489197,1,1,unlabeled
3,0.052854038774967194,0,1,unlabeled
4,2.5846411233487743e-08,0,0,unlabeled
5,0.8816739916801453,1,0,unlabeled
6,0.9939536452293396,1,1,unlabeled
7,0.9995317459106445,1,1,unlabeled
8,0.20713622868061066,1,0,unlabeled
9,0.6030052304267883,1,1,unlabeled
10,0.8986214399337769,1,0,unlabeled
11,0.906935453414917,1,1,unlabeled
12,0.5263322591781616,1,0,unlabeled
13,0.9657392501831055,1,1,train
14,4.542248174810304e-11,0,0,unlabeled
15,0.9999895095825195,1,1,train
16,1.8600860585138435e-07,0,0,unlabeled
17,0.048336803913116455,0,0,train
18,0.10077610611915588,0,1,unlabeled
19,0.056197065860033035,0,1,unlabeled
20,0.5397229194641113,1,1,test
21,0.9087471961975098,1,0,unlabeled
22,0.9977431297302246,1,1,unlabeled
23,0.9267292022705078,1,1,unlabeled
24,0.9293212294578552,1,1,unlabeled
25,0.20782223343849182,1,0,unlabeled
26,0.9807642698287964,1,1,unlabeled
27,0.698223352432251,1,1,unlabeled
28,0.998985230922699,1,1,val
29,3.0068695195950568e-05,0,0,unlabeled
30,0.9808266162872314,1,1,unlabeled
31,0.07326097786426544,0,1,unlabeled
32,0.9795858263969421,1,1,unlabeled
33,4.6844539269841334e-07,0,0,unlabeled
34,0.9996604919433594,1,1,train
35,9.870962094282731e-05,0,0,unlabeled
36,0.9999972581863403,1,1,train
37,0.9456016421318054,1,1,unlabeled
38,9.447072079638019e-05,0,0,test
39,0.5445317029953003,1,1,unlabeled
40,0.998954176902771,1,0,unlabeled
41,3.948142330045812e-05,0,0,unlabeled
42,0.9999657869338989,1,1,unlabeled
43,0.255614310503006,1,0,train
44,0.6898706555366516,1,1,unlabeled
45,0.8558408617973328,1,0,unlabeled
46,0.5210685729980469,1,1,unlabeled
47,0.7029369473457336,1,1,unlabeled
48,0.0005009082378819585,0,0,train
49,0.0004360142338555306,0,0,unlabeled
50,1.4336054618979688e-06,0,0,unlabeled
51,0.03379230946302414,0,0,unlabeled
52,0.97467041015625,1,1,unlabeled
53,0.9972513318061829,1,1,unlabeled
54,0.9646623134613037,1,1,unlabeled
55,0.9498887062072754,1,1,train
56,1.7261983884964138e-05,0,0,train
57,0.5695793628692627,1,0,unlabeled
58,0.9775851368904114,1,0,unlabeled
59,2.5094429645378113e-08,0,0,unlabeled
60,0.9999890327453613,1,1,val
61,0.9954417943954468,1,1,unlabeled
62,0.9957150816917419,1,1,unlabeled
63,0.953927755355835,1,1,unlabeled
64,0.9995317459106445,1,0,unlabeled
65,5.146685566614906e-08,0,0,unlabeled
66,0.3543339967727661,1,0,unlabeled
67,0.0008791701402515173,0,0,unlabeled
68,0.925091564655304,1,0,train
69,0.9990724325180054,1,1,unlabeled
70,0.0004081295046489686,0,0,unlabeled
71,0.5321412682533264,1,1,unlabeled
72,0.0001398323365719989,0,0,unlabeled
73,1.4821571880929696e-07,0,0,unlabeled
74,0.005662205629050732,0,0,unlabeled
75,0.0017497444059699774,0,0,unlabeled
76,2.8818998544011265e-05,0,0,train
77,2.1025266505603213e-06,0,0,unlabeled
78,0.8948677182197571,1,1,unlabeled
79,3.159105108352378e-05,0,0,unlabeled
80,2.1665998417574883e-07,0,0,unlabeled
81,0.9808080196380615,1,0,test
82,0.9984942674636841,1,1,unlabeled
83,4.330957494858012e-07,0,0,unlabeled
84,0.0001486010878579691,0,0,unlabeled
85,5.258089519344367e-10,0,0,unlabeled
86,0.0059083569794893265,0,0,train
87,0.994118332862854,1,0,unlabeled
88,3.004292921104934e-07,0,0,unlabeled
89,0.9995304346084595,1,1,unlabeled
90,0.9993177652359009,1,1,unlabeled
91,0.9458832144737244,1,0,unlabeled
92,0.03190239518880844,0,0,unlabeled
93,0.9174672961235046,1,1,unlabeled
94,4.304136211885634e-07,0,0,train
95,0.021675819531083107,0,0,val
96,7.376861321972683e-05,0,0,unlabeled
97,0.9738828539848328,1,0,unlabeled
98,0.926397979259491,1,0,unlabeled
99,0.0030384589917957783,0,0,unlabeled
100,8.812540386315959e-08,0,0,unlabeled
101,0.9634279012680054,1,0,train
