Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
81,1.0,0.7654,0.0887,0.159,0.9686,62
162,1.99,0.7654,0.1774,0.288,0.9686,124
243,2.99,0.7778,0.2704,0.4013,0.9686,189
324,3.99,0.7191,0.3333,0.4555,0.9686,233
406,5.0,0.6527,0.3791,0.4796,0.9686,265
487,5.99,0.6078,0.4235,0.4992,0.9686,296
568,6.99,0.5704,0.4635,0.5114,0.9686,324
649,7.99,0.5316,0.4936,0.5119,0.9686,345
731,9.0,0.513,0.5365,0.5245,0.9686,375
812,10.0,0.5025,0.5837,0.54,0.9686,408
1218,14.99,0.4926,0.8584,0.626,0.9686,600
1624,19.99,0.4255,0.9886,0.5949,0.9686,691
2031,25.0,0.3437,0.9986,0.5114,0.9686,698
2437,30.0,0.2868,1.0,0.4458,0.9686,699
2843,35.0,0.2459,1.0,0.3947,0.9686,699
3249,39.99,0.2151,1.0,0.3541,0.9686,699
3655,44.99,0.1912,1.0,0.3211,0.9686,699
4062,50.0,0.1721,1.0,0.2936,0.9686,699
4874,60.0,0.1434,1.0,0.2509,0.9686,699
5686,69.99,0.1229,1.0,0.219,0.9686,699
6499,80.0,0.1076,1.0,0.1942,0.9686,699
7311,89.99,0.0956,1.0,0.1745,0.9686,699
8124,100.0,0.086,1.0,0.1584,0.9686,699
