Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
129,1.0,0.7519,0.3674,0.4936,0.9981,97
259,2.0,0.7104,0.697,0.7036,0.9981,184
388,2.99,0.6314,0.928,0.7515,0.9981,245
518,4.0,0.5058,0.9924,0.6701,0.9981,262
648,5.0,0.4074,1.0,0.5789,0.9981,264
777,6.0,0.3398,1.0,0.5072,0.9981,264
907,7.0,0.2911,1.0,0.4509,0.9981,264
1036,7.99,0.2548,1.0,0.4062,0.9981,264
1166,9.0,0.2264,1.0,0.3692,0.9981,264
1296,10.0,0.2037,1.0,0.3385,0.9981,264
1944,15.0,0.1358,1.0,0.2391,0.9981,264
2592,20.0,0.1019,1.0,0.1849,0.9981,264
3240,25.0,0.0815,1.0,0.1507,0.9981,264
3888,30.0,0.0679,1.0,0.1272,0.9981,264
4536,35.0,0.0582,1.0,0.11,0.9981,264
5184,40.0,0.0509,1.0,0.0969,0.9981,264
5832,45.0,0.0453,1.0,0.0866,0.9981,264
6480,50.0,0.0407,1.0,0.0783,0.9981,264
7776,60.0,0.034,1.0,0.0657,0.9981,264
9072,70.0,0.0291,1.0,0.0566,0.9981,264
10368,80.0,0.0255,1.0,0.0497,0.9981,264
11664,90.0,0.0226,1.0,0.0443,0.9981,264
12960,100.0,0.0204,1.0,0.0399,0.9981,264
