Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,8.159624849213287e-05,0,0,unlabeled
1,7.075470421114005e-06,0,0,unlabeled
2,1.809687637432944e-05,0,0,unlabeled
3,1.0757777090475429e-05,0,0,unlabeled
4,3.000713149958756e-06,0,0,unlabeled
5,2.934767871920485e-05,0,0,unlabeled
6,0.10143475234508514,0,0,unlabeled
7,0.11232886463403702,0,0,unlabeled
8,0.0035933584440499544,0,0,unlabeled
9,5.5866166803753003e-05,0,0,train
10,0.0014141633873805404,0,0,unlabeled
11,0.0002462427073623985,0,0,unlabeled
12,0.0005799504579044878,0,0,train
13,0.005582870915532112,0,0,unlabeled
14,0.029879366979002953,0,0,unlabeled
15,0.016323795542120934,0,0,unlabeled
16,0.03193606436252594,0,0,unlabeled
17,1.3759391549683642e-05,0,0,unlabeled
18,3.5799394026980735e-06,0,0,train
19,7.49014870962128e-05,0,0,val
20,2.32546644838294e-05,0,0,unlabeled
21,0.0001623785065021366,0,0,unlabeled
22,3.1923973438097164e-05,0,0,train
23,0.00022704769799020141,0,0,unlabeled
24,0.0014076936058700085,0,0,unlabeled
25,0.0002169178769690916,0,0,unlabeled
26,0.0002631018287502229,0,0,train
27,0.02370079979300499,0,0,unlabeled
28,0.30548954010009766,1,0,unlabeled
29,0.0005293170106597245,0,0,train
30,0.9831379652023315,1,1,unlabeled
31,0.9833699464797974,1,1,unlabeled
32,0.9998650550842285,1,1,train
33,0.997026264667511,1,1,unlabeled
34,0.9981555342674255,1,1,val
35,0.9639759063720703,1,1,unlabeled
36,0.11729536950588226,0,0,test
37,0.10230236500501633,0,0,val
38,0.6424200534820557,1,0,unlabeled
39,0.34510770440101624,1,0,unlabeled
40,0.5784311890602112,1,0,unlabeled
41,0.6169864535331726,1,0,unlabeled
42,0.8619323372840881,1,1,unlabeled
43,0.9997740387916565,1,1,train
44,0.9496248364448547,1,1,unlabeled
45,0.9269269108772278,1,1,unlabeled
46,0.9426268339157104,1,1,unlabeled
47,0.9825379252433777,1,1,unlabeled
