Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.18933692574501038,0,0,train
1,0.028152674436569214,0,0,unlabeled
2,0.9572156071662903,0,0,unlabeled
3,0.003926203120499849,0,0,unlabeled
4,0.04308612272143364,0,0,unlabeled
5,0.0030005821026861668,0,0,unlabeled
6,0.006305365357547998,0,0,unlabeled
7,0.0020976588129997253,0,0,unlabeled
8,0.010500619187951088,0,0,unlabeled
9,0.0045961905270814896,0,0,train
10,0.44597387313842773,0,0,unlabeled
11,0.0020772763527929783,0,0,train
12,0.0061462013982236385,0,0,unlabeled
13,0.009411392733454704,0,0,unlabeled
14,0.017215365543961525,0,0,unlabeled
15,0.010007308796048164,0,0,train
16,0.026858238503336906,0,0,unlabeled
17,0.0019464013166725636,0,0,unlabeled
18,0.002793240826576948,0,0,unlabeled
19,0.019761286675930023,0,0,train
20,0.0020521602127701044,0,0,unlabeled
21,0.0011697727022692561,0,0,unlabeled
22,0.056786470115184784,0,0,train
23,0.026001663878560066,0,0,unlabeled
24,0.29506129026412964,0,0,unlabeled
25,0.0035143126733601093,0,0,test
26,0.01619911752641201,0,0,unlabeled
27,0.0015970065724104643,0,0,unlabeled
28,0.009150514379143715,0,0,unlabeled
29,0.0024625221267342567,0,0,unlabeled
30,0.07323829084634781,0,0,train
31,0.005043563898652792,0,0,unlabeled
32,0.004522960167378187,0,0,unlabeled
33,0.00241369241848588,0,0,train
34,0.005044050049036741,0,0,unlabeled
35,0.0029613713268190622,0,0,unlabeled
36,0.0069821965880692005,0,0,unlabeled
37,0.1777399778366089,0,0,unlabeled
38,0.0058443364687263966,0,0,unlabeled
39,0.031348224729299545,0,0,train
40,0.3392198979854584,0,0,unlabeled
41,0.002039184793829918,0,0,unlabeled
42,0.004068181850016117,0,0,train
43,0.050350554287433624,0,0,unlabeled
44,0.830821692943573,0,0,unlabeled
45,0.03658806160092354,0,0,unlabeled
46,0.0016313818050548434,0,0,train
47,0.00017261238826904446,0,0,unlabeled
48,0.007978247478604317,0,0,unlabeled
49,0.002932644682005048,0,0,unlabeled
50,0.005871989764273167,0,0,unlabeled
51,0.9997302889823914,0,0,unlabeled
52,0.2936379015445709,0,0,unlabeled
53,0.01936270482838154,0,0,unlabeled
54,0.9983554482460022,0,0,unlabeled
55,0.0029057813808321953,0,0,train
56,0.009949463419616222,0,0,val
57,0.001375146908685565,0,0,train
58,0.007514147087931633,0,0,unlabeled
59,0.07952026277780533,0,0,unlabeled
60,0.003235691227018833,0,0,unlabeled
61,0.0013465649681165814,0,0,unlabeled
62,0.7163262963294983,0,0,unlabeled
63,0.03310617804527283,0,0,unlabeled
64,0.004706596024334431,0,0,unlabeled
65,0.0015048820059746504,0,0,unlabeled
66,0.00185891252476722,0,0,unlabeled
67,0.7955034971237183,0,0,unlabeled
68,0.004102527163922787,0,0,unlabeled
69,0.002391650341451168,0,0,unlabeled
70,0.8778885006904602,0,0,train
71,0.00872921571135521,0,0,unlabeled
72,0.004854781087487936,0,0,val
73,0.001790669746696949,0,0,val
74,0.0018385174917057157,0,0,unlabeled
75,0.0014582721050828695,0,0,train
76,0.0038844191003590822,0,0,train
77,0.002542906440794468,0,0,train
78,0.04109460115432739,0,0,train
79,0.01609708182513714,0,0,test
80,0.0014105311129242182,0,0,unlabeled
81,0.0012226804392412305,0,0,unlabeled
82,0.004028335679322481,0,0,train
83,0.09397830814123154,0,0,unlabeled
84,0.00559960538521409,0,0,unlabeled
85,1.0,1,0,unlabeled
86,0.022124066948890686,0,0,unlabeled
87,0.004716061055660248,0,0,unlabeled
88,0.0064020887948572636,0,0,unlabeled
89,0.0014986578607931733,0,0,unlabeled
90,0.0028818193823099136,0,0,val
91,0.0018394618527963758,0,0,unlabeled
92,0.029790716245770454,0,0,unlabeled
93,0.0037129425909370184,0,0,train
94,0.0012899356661364436,0,0,unlabeled
95,0.009083963930606842,0,0,unlabeled
96,0.09354270994663239,0,0,unlabeled
97,0.0014594224048778415,0,0,unlabeled
98,0.0020849918946623802,0,0,unlabeled
99,0.013167642056941986,0,0,unlabeled
100,0.05456259101629257,0,0,unlabeled
101,0.006406009197235107,0,0,train
102,0.007730555254966021,0,0,unlabeled
103,0.004538785200566053,0,0,unlabeled
104,0.0012226792750880122,0,0,unlabeled
105,0.005183180794119835,0,0,unlabeled
106,0.004338565748184919,0,0,unlabeled
107,0.012812490575015545,0,0,unlabeled
108,0.009646627120673656,0,0,unlabeled
