Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.0,0.0,0.0,0.5419,0
7,1.77,0.0,0.0,0.0,0.5419,0
11,2.78,0.0909,0.0435,0.0588,0.5419,1
15,3.8,0.1333,0.087,0.1053,0.5419,2
19,4.81,0.1579,0.1304,0.1429,0.5419,3
23,5.82,0.1304,0.1304,0.1304,0.5419,3
27,6.84,0.1111,0.1304,0.12,0.5419,3
31,7.85,0.129,0.1739,0.1481,0.5419,4
35,8.86,0.1143,0.1739,0.1379,0.5419,4
39,9.87,0.1026,0.1739,0.129,0.5419,4
59,14.94,0.1017,0.2609,0.1463,0.5419,6
79,20.0,0.0886,0.3043,0.1373,0.5419,7
98,24.81,0.0714,0.3043,0.1157,0.5419,7
118,29.87,0.0763,0.3913,0.1277,0.5419,9
138,34.94,0.0725,0.4348,0.1242,0.5419,10
158,40.0,0.0696,0.4783,0.1215,0.5419,11
177,44.81,0.0678,0.5217,0.12,0.5419,12
197,49.87,0.066,0.5652,0.1182,0.5419,13
237,60.0,0.0633,0.6522,0.1154,0.5419,15
276,69.87,0.058,0.6957,0.107,0.5419,16
316,80.0,0.057,0.7826,0.1062,0.5419,18
355,89.87,0.0535,0.8261,0.1005,0.5419,19
395,100.0,0.0582,1.0,0.11,0.5419,23
