Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
48,0.98,0.2917,0.0386,0.0681,0.6372,14
97,1.98,0.2577,0.0689,0.1087,0.6372,25
146,2.98,0.2329,0.0937,0.1336,0.6372,34
195,3.98,0.2205,0.1185,0.1541,0.6372,43
244,4.98,0.2049,0.1377,0.1647,0.6372,50
293,5.98,0.1843,0.1488,0.1646,0.6372,54
342,6.98,0.1842,0.1736,0.1787,0.6372,63
391,7.98,0.1867,0.2011,0.1936,0.6372,73
440,8.98,0.1795,0.2176,0.1968,0.6372,79
489,9.98,0.1738,0.2342,0.1995,0.6372,85
734,14.99,0.1499,0.303,0.2005,0.6372,110
979,19.99,0.1389,0.3747,0.2027,0.6372,136
1224,24.99,0.1307,0.4408,0.2016,0.6372,160
1469,29.99,0.1266,0.5124,0.2031,0.6372,186
1714,34.99,0.1161,0.5482,0.1916,0.6372,199
1959,40.0,0.1077,0.5813,0.1817,0.6372,211
2204,45.0,0.103,0.6253,0.1769,0.6372,227
2449,50.0,0.1009,0.6804,0.1757,0.6372,247
2938,59.98,0.0929,0.7521,0.1654,0.6372,273
3428,69.99,0.0866,0.8182,0.1567,0.6372,297
3918,79.99,0.0814,0.8788,0.149,0.6372,319
4408,90.0,0.0749,0.9091,0.1383,0.6372,330
4898,100.0,0.0741,1.0,0.138,0.6372,363
