Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.62,1.0,0.04,0.0769,1.0,1
3,1.88,1.0,0.12,0.2143,1.0,3
4,2.5,1.0,0.16,0.2759,1.0,4
6,3.75,0.6667,0.16,0.2581,1.0,4
8,5.0,0.625,0.2,0.303,1.0,5
9,5.62,0.6667,0.24,0.3529,1.0,6
11,6.88,0.7273,0.32,0.4444,1.0,8
12,7.5,0.6667,0.32,0.4324,1.0,8
14,8.75,0.7143,0.4,0.5128,1.0,10
16,10.0,0.75,0.48,0.5854,1.0,12
24,15.0,0.7917,0.76,0.7755,1.0,19
32,20.0,0.7812,1.0,0.8772,1.0,25
40,25.0,0.625,1.0,0.7692,1.0,25
48,30.0,0.5208,1.0,0.6849,1.0,25
56,35.0,0.4464,1.0,0.6173,1.0,25
64,40.0,0.3906,1.0,0.5618,1.0,25
72,45.0,0.3472,1.0,0.5155,1.0,25
80,50.0,0.3125,1.0,0.4762,1.0,25
96,60.0,0.2604,1.0,0.4132,1.0,25
112,70.0,0.2232,1.0,0.365,1.0,25
128,80.0,0.1953,1.0,0.3268,1.0,25
144,90.0,0.1736,1.0,0.2959,1.0,25
160,100.0,0.1562,1.0,0.2703,1.0,25
