Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.02482261136174202,1,0,unlabeled
1,0.016347847878932953,1,0,unlabeled
2,0.021257447078824043,1,0,unlabeled
3,0.010312343947589397,1,0,val
4,0.019823653623461723,1,0,unlabeled
5,0.002990264678373933,1,0,unlabeled
6,0.01988450437784195,1,0,unlabeled
7,0.005513560492545366,1,0,unlabeled
8,0.0044478666968643665,1,0,unlabeled
9,0.004976368043571711,1,0,unlabeled
10,0.0009189037955366075,0,0,train
11,0.006260432302951813,1,0,unlabeled
12,0.007563313003629446,1,0,unlabeled
13,0.017533443868160248,1,0,unlabeled
14,0.0357108935713768,1,0,unlabeled
15,0.014186848886311054,1,0,unlabeled
16,0.012783825397491455,1,0,unlabeled
17,0.012791037559509277,1,0,unlabeled
18,0.01238999143242836,1,0,unlabeled
19,0.011668568477034569,1,0,unlabeled
20,0.01719621568918228,1,0,unlabeled
21,0.01928962580859661,1,0,unlabeled
22,0.047736622393131256,1,0,unlabeled
23,0.0011182910529896617,1,0,train
24,0.012167482636868954,1,0,unlabeled
25,0.014086290262639523,1,0,unlabeled
26,0.012831496074795723,1,0,unlabeled
27,0.007862365804612637,1,0,unlabeled
28,0.010300204157829285,1,0,unlabeled
29,0.02550124190747738,1,0,unlabeled
30,0.0012960851890966296,1,0,train
31,0.00294171879068017,1,0,val
32,0.01178645994514227,1,0,unlabeled
33,0.03245190903544426,1,0,unlabeled
34,0.006992509122937918,1,0,unlabeled
35,0.037193577736616135,1,0,unlabeled
36,0.014067461714148521,1,0,unlabeled
37,0.0077429055236279964,1,0,unlabeled
38,0.014408139511942863,1,0,unlabeled
39,0.007285858504474163,1,0,val
40,0.00925676804035902,1,0,unlabeled
41,0.012501179240643978,1,0,unlabeled
42,0.012890180572867393,1,0,unlabeled
43,0.022997209802269936,1,0,unlabeled
44,0.0011636096751317382,1,0,train
45,0.01110008079558611,1,0,unlabeled
46,0.018183531239628792,1,0,unlabeled
47,0.013737253844738007,1,0,unlabeled
48,0.021046971902251244,1,0,unlabeled
49,0.0009240888757631183,0,0,train
50,0.005621291231364012,1,0,unlabeled
51,0.0016280837589874864,1,0,train
52,0.028244176879525185,1,0,unlabeled
53,0.006913960445672274,1,0,unlabeled
54,0.0010575751075521111,1,0,train
55,0.007188364863395691,1,0,unlabeled
56,0.001108319964259863,1,0,train
57,0.017313452437520027,1,0,unlabeled
58,0.0015415693633258343,1,0,train
59,0.011398210190236568,1,0,val
60,0.008573625236749649,1,0,unlabeled
61,0.010972019284963608,1,0,unlabeled
62,0.014642897062003613,1,0,unlabeled
63,0.0010655928635969758,1,0,train
64,0.010487442836165428,1,0,unlabeled
65,0.014129141345620155,1,0,unlabeled
66,0.010737369768321514,1,0,val
67,0.0012605745578184724,1,0,train
68,0.00633049663156271,1,0,unlabeled
69,0.005897483788430691,1,0,unlabeled
70,0.0008990459027700126,0,0,train
71,0.005837112665176392,1,0,unlabeled
72,0.010464498773217201,1,0,unlabeled
73,0.0038619416300207376,1,0,unlabeled
74,0.020612630993127823,1,0,unlabeled
75,0.009490333497524261,1,0,unlabeled
76,0.002157587092369795,1,0,val
77,0.01571645773947239,1,0,unlabeled
78,0.002251426223665476,1,0,train
79,0.05446086451411247,1,0,unlabeled
80,0.012914636172354221,1,0,unlabeled
81,0.018474308773875237,1,0,unlabeled
82,0.006701999809592962,1,0,unlabeled
83,0.001049853046424687,1,0,train
84,0.010920359753072262,1,0,unlabeled
85,0.0078069125302135944,1,0,unlabeled
86,0.0010520422365516424,1,0,train
87,0.012981653213500977,1,0,unlabeled
88,0.0018477338599041104,1,0,train
89,0.00410921685397625,1,0,unlabeled
90,0.01573416404426098,1,0,unlabeled
91,0.0034942664206027985,1,0,unlabeled
92,0.017020640894770622,1,0,unlabeled
93,0.010905989445745945,1,0,unlabeled
94,0.009243194013834,1,0,unlabeled
95,0.022025378420948982,1,0,unlabeled
96,0.00395421264693141,1,0,val
97,0.12457771599292755,1,0,unlabeled
98,0.01152757927775383,1,0,unlabeled
99,0.014211224392056465,1,0,unlabeled
100,0.001102068810723722,1,0,train
101,0.0010725775500759482,1,0,train
102,0.010859444737434387,1,0,unlabeled
103,0.016791369765996933,1,0,unlabeled
104,0.011550209484994411,1,0,unlabeled
105,0.004873877391219139,1,0,unlabeled
106,0.008765455335378647,1,0,unlabeled
107,0.009877882897853851,1,0,val
108,0.011166814714670181,1,0,unlabeled
109,0.0011063746642321348,1,0,train
110,0.009021933190524578,1,0,unlabeled
111,0.010653596371412277,1,0,unlabeled
112,0.015926720574498177,1,0,unlabeled
113,0.000944917497690767,1,0,train
114,0.004418877884745598,1,0,unlabeled
115,0.008994833566248417,1,0,unlabeled
116,0.017294373363256454,1,0,unlabeled
117,0.01175508089363575,1,0,unlabeled
118,0.038421470671892166,1,0,unlabeled
119,0.010863378643989563,1,0,unlabeled
120,0.002588775707408786,1,0,unlabeled
121,0.020396893844008446,1,0,unlabeled
122,0.014305091463029385,1,0,unlabeled
123,0.006372090894728899,1,0,unlabeled
124,0.019590822979807854,1,0,unlabeled
125,0.0191169586032629,1,0,unlabeled
126,0.008072717115283012,1,0,unlabeled
127,0.020445730537176132,1,0,unlabeled
128,0.0010635305661708117,1,0,train
129,0.015555341728031635,1,0,unlabeled
130,0.01672196574509144,1,0,unlabeled
131,0.00941744539886713,1,0,unlabeled
132,0.0123822633177042,1,0,unlabeled
133,0.012411849573254585,1,0,unlabeled
134,0.024667879566550255,1,0,unlabeled
135,0.0003942485200241208,0,0,unlabeled
136,0.00039424814167432487,0,0,train
137,0.019994329661130905,1,0,unlabeled
138,0.0009319631499238312,0,0,train
139,0.0011344943195581436,1,0,train
140,0.001012915512546897,1,0,train
141,0.001603897544555366,1,0,train
142,0.023377934470772743,1,0,unlabeled
143,0.006771123502403498,1,0,unlabeled
144,0.02169482782483101,1,0,unlabeled
145,0.006688243243843317,1,0,unlabeled
146,0.018366074189543724,1,0,unlabeled
147,0.009204202331602573,1,0,unlabeled
148,0.012486065737903118,1,0,unlabeled
149,0.0024744607508182526,1,0,unlabeled
150,0.017002252861857414,1,0,unlabeled
151,0.01710696890950203,1,0,unlabeled
152,0.01045455876737833,1,0,unlabeled
153,0.005015252623707056,1,0,unlabeled
154,0.010246570222079754,1,0,unlabeled
155,0.012187373824417591,1,0,unlabeled
156,0.000948669679928571,1,0,train
157,0.014900867827236652,1,0,unlabeled
158,0.012551826424896717,1,0,val
159,0.09057281166315079,1,0,unlabeled
160,0.006147317122668028,1,0,unlabeled
161,0.014073521830141544,1,0,unlabeled
162,0.03216307982802391,1,0,unlabeled
163,0.012914187274873257,1,0,unlabeled
164,0.008552622981369495,1,0,unlabeled
165,0.07831837236881256,1,0,unlabeled
166,0.06707454472780228,1,0,unlabeled
167,0.04621192812919617,1,0,unlabeled
