Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.003865448758006096,1,0,test
1,1.0224299330729991e-05,0,0,unlabeled
2,5.71303780816379e-06,0,0,unlabeled
3,0.0038653698284178972,1,0,unlabeled
4,1.25093674796517e-06,0,0,val
5,1.0224348443443887e-05,0,0,unlabeled
6,6.884016329422593e-05,0,0,unlabeled
7,0.0001318249705946073,0,0,unlabeled
8,5.712945949198911e-06,0,0,unlabeled
9,0.9831716418266296,1,0,unlabeled
10,5.600384156423388e-07,0,0,train
11,0.15329614281654358,1,0,unlabeled
12,2.754077286226675e-06,0,0,train
13,0.017452998086810112,1,0,unlabeled
14,0.003859739052131772,1,0,unlabeled
15,0.003824165789410472,1,0,unlabeled
16,0.001223360770381987,0,0,unlabeled
17,1.02244066511048e-05,0,0,unlabeled
18,1.5826969956833636e-07,0,0,train
19,1.5912360140646342e-07,0,0,unlabeled
20,0.15329663455486298,1,0,unlabeled
21,0.005888189654797316,1,0,unlabeled
22,5.9202347983955406e-06,0,0,train
23,0.00011460571840871125,0,0,unlabeled
24,0.9805561900138855,1,1,unlabeled
25,0.9997723698616028,1,1,train
26,0.9999610185623169,1,1,unlabeled
27,0.048453062772750854,1,0,unlabeled
28,1.0224182915408164e-05,0,0,unlabeled
29,0.022337455302476883,1,0,unlabeled
30,0.9973214268684387,1,1,unlabeled
31,6.883910828037187e-05,0,0,unlabeled
32,0.033463750034570694,1,0,unlabeled
33,0.00036491223727352917,0,0,unlabeled
34,3.1945201044436544e-05,0,0,unlabeled
35,0.01569599285721779,1,0,unlabeled
36,0.0020330834668129683,0,0,unlabeled
37,0.001223351457156241,0,0,val
38,5.7130600907839835e-06,0,0,unlabeled
39,0.9999908208847046,1,1,train
40,0.9982376098632812,1,1,unlabeled
41,6.132695034466451e-06,0,0,train
42,0.9830315113067627,1,1,unlabeled
43,0.0197927113622427,1,0,unlabeled
44,1.2509224234236171e-06,0,0,unlabeled
45,1.2509307225627708e-06,0,0,unlabeled
46,0.0038242381997406483,1,0,unlabeled
47,1.2509224234236171e-06,0,0,val
48,4.976849936610961e-07,0,0,unlabeled
49,0.00017831379955168813,0,0,unlabeled
50,1.250905711458472e-06,0,0,unlabeled
51,0.9982376098632812,1,1,unlabeled
52,0.01653866097331047,1,1,unlabeled
53,0.00013066061364952475,0,0,unlabeled
54,0.00017831515287980437,0,0,unlabeled
55,1.0224280231341254e-05,0,0,unlabeled
56,4.2776541704370175e-06,0,0,train
57,0.15329839289188385,1,0,unlabeled
58,4.626321015166468e-07,0,0,unlabeled
59,0.019792906939983368,1,0,unlabeled
60,1.9843915310957527e-07,0,0,unlabeled
61,5.7130600907839835e-06,0,0,unlabeled
62,0.5718711614608765,1,1,unlabeled
63,7.488698372526414e-08,0,0,unlabeled
64,8.419341952503601e-07,0,0,train
65,6.814266725996276e-06,0,0,train
66,1.5912374351501057e-07,0,0,unlabeled
67,1.2509140105976257e-06,0,0,unlabeled
68,6.7432397372613195e-06,0,0,test
69,1.2509176485764328e-06,0,0,unlabeled
70,6.883924652356654e-05,0,0,unlabeled
71,1.3125891200616024e-06,0,0,unlabeled
72,0.08084934949874878,1,0,unlabeled
73,3.1945139198796824e-05,0,0,unlabeled
74,3.105864016106352e-05,0,0,unlabeled
75,3.1629589614112774e-08,0,0,train
76,0.002511159982532263,1,1,val
77,0.08375246077775955,1,0,unlabeled
78,0.00036491223727352917,0,0,unlabeled
79,0.0003649125574156642,0,0,unlabeled
80,0.03291245549917221,1,1,unlabeled
81,0.9740366339683533,1,0,unlabeled
82,1.169599090644624e-05,0,0,train
83,0.01979242078959942,1,0,unlabeled
84,0.0016773527022451162,0,0,unlabeled
85,4.4528624130180106e-05,0,0,train
86,9.219480148203729e-07,0,0,unlabeled
87,3.126130104647018e-05,0,0,unlabeled
88,0.9805561900138855,1,1,unlabeled
89,0.9971188306808472,1,1,unlabeled
90,0.00018373271450400352,0,1,unlabeled
91,0.043042801320552826,1,1,unlabeled
92,1.984414268463297e-07,0,0,unlabeled
93,0.0484522245824337,1,0,unlabeled
94,0.002033099066466093,0,0,unlabeled
95,9.456479347136337e-06,0,0,unlabeled
96,8.739307304495014e-06,0,0,unlabeled
97,0.9997943043708801,1,1,unlabeled
98,6.999858896961086e-07,0,0,train
99,0.9740369915962219,1,0,unlabeled
100,0.01979251392185688,1,0,unlabeled
