Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,0.0,0.0,0.0,0.9224,0
2,1.98,0.5,0.0714,0.125,0.9224,1
3,2.97,0.6667,0.1429,0.2353,0.9224,2
4,3.96,0.5,0.1429,0.2222,0.9224,2
5,4.95,0.6,0.2143,0.3158,0.9224,3
6,5.94,0.6667,0.2857,0.4,0.9224,4
7,6.93,0.7143,0.3571,0.4762,0.9224,5
8,7.92,0.75,0.4286,0.5455,0.9224,6
9,8.91,0.6667,0.4286,0.5217,0.9224,6
10,9.9,0.7,0.5,0.5833,0.9224,7
15,14.85,0.6667,0.7143,0.6897,0.9224,10
20,19.8,0.5,0.7143,0.5882,0.9224,10
25,24.75,0.48,0.8571,0.6154,0.9224,12
30,29.7,0.4,0.8571,0.5455,0.9224,12
35,34.65,0.3714,0.9286,0.5306,0.9224,13
40,39.6,0.325,0.9286,0.4815,0.9224,13
45,44.55,0.2889,0.9286,0.4407,0.9224,13
50,49.5,0.28,1.0,0.4375,0.9224,14
60,59.41,0.2333,1.0,0.3784,0.9224,14
70,69.31,0.2,1.0,0.3333,0.9224,14
80,79.21,0.175,1.0,0.2979,0.9224,14
90,89.11,0.1556,1.0,0.2692,0.9224,14
101,100.0,0.1386,1.0,0.2435,0.9224,14
