Dataset,ADFNR,DASOD,GCN,GCN-LOF,NMIGOD,NIEOD
adult,0.4851,0.5281,0.8866,0.5372,0.8346,0.5461
arrhythmia,0.8138,0.8121,0.7231,0.564,0.6826,0.8061
bank,0.6725,0.7675,0.8201,0.5506,0.7272,0.7095
bank-full,0.6052,0.6157,0.8268,0.5344,0.898,0.5936
banknote,0.7063,0.7526,0.9836,0.5453,0.9852,0.7355
breast-cancer,0.9975,0.9962,0.9949,0.4901,0.9953,0.9945
car,0.5,0.1436,0.9885,0.5018,0.9858,0.5
chess,0.8302,0.8346,0.9685,0.472,0.9863,0.8312
credit,0.6736,0.5847,0.9141,0.4491,0.9362,0.5652
diabetes,0.7385,0.7351,0.9857,0.5377,0.9815,0.7324
german,0.5821,0.5967,0.6447,0.5241,0.6955,0.5984
glass,0.5895,0.5949,0.8952,0.6041,0.7995,0.5705
horse,0.6948,0.7073,0.5866,0.5343,0.7569,0.683
iris,0.9985,0.971,1.0,0.8857,1.0,0.981
mushroom,0.5959,0.763,0.9717,0.5067,0.9686,0.4973
nursery,0.5,0.7754,0.9989,0.447,0.9994,0.5
parkinsons,0.5903,0.3333,0.9139,0.8108,0.8669,0.5006
raisin,0.8577,0.8466,0.8941,0.4573,0.918,0.8692
student-mat,0.643,0.6837,0.4719,0.4776,0.5992,0.6715
wine,0.9005,0.8749,1.0,0.6038,1.0,0.9431
wine-red,0.6352,0.5715,0.5091,0.6243,0.6343,0.6129
wine-white,0.6469,0.597,0.6568,0.5147,0.65,0.6235
yeast,0.9982,0.9044,0.9949,0.9952,0.9987,0.9935
zoo,0.5343,0.6211,0.941,0.5259,0.9224,0.5427
Average,0.6996,0.6921,0.8571,0.5706,0.8676,0.6917
