No.,Dataset,Objects,Attributes,Outliers,OutlierRatio,DataType,OutlierLabel,OutlierValues
1,adult,6372,14,504,7.91,Mixed,class,anomaly
2,arrhythmia,452,279,66,14.6,Mixed,class,anomaly
3,bank,2391,16,200,8.36,Mixed,class,anomaly
4,bank-full,6099,16,554,9.08,Mixed,class,anomaly
5,car,1728,6,134,7.75,Mixed,class,anomaly
6,credit,435,15,128,29.43,Mixed,class,anomaly
7,diabetes,370,16,50,13.51,Mixed,class,anomaly
8,german,800,20,100,12.5,Mixed,class,anomaly
9,student-mat,395,32,29,7.34,Mixed,class,anomaly
10,yeast,1141,9,5,0.44,Mixed,class,anomaly
11,breast-cancer,469,10,41,8.74,Numerical,class,anomaly
12,banknote,872,4,110,12.61,Numerical,class,anomaly
13,glass,214,9,39,18.22,Numerical,class,anomaly
14,horse,300,27,99,33,Numerical,class,anomaly
15,iris,120,4,20,16.67,Numerical,class,anomaly
16,parkinsons,195,22,48,24.62,Numerical,class,anomaly
17,raisin,490,7,40,8.16,Numerical,class,anomaly
18,wine,160,14,30,18.75,Numerical,class,anomaly
19,wine-red,1599,11,81,5.07,Numerical,class,anomaly
20,wine-white,4898,11,363,7.41,Numerical,class,anomaly
21,covertype,10000,55,207,2.07,Numerical,class,anomaly
22,skin,10000,3,2124,21.24,Numerical,class,anomaly
23,chess,2052,36,383,18.66,Categorical,class,anomaly
24,mushroom,8124,22,852,10.49,Categorical,class,anomaly
25,nursery,12960,9,330,2.55,Categorical,class,anomaly
26,zoo,101,16,17,16.83,Categorical,class,anomaly
27,abalone,4177,8,136,3.26,Mixed,class,anomaly
28,heart,303,13,139,45.87,Mixed,class,anomaly
29,cmc,1473,9,629,42.70,Mixed,class,anomaly
30,hepatitis,155,19,32,20.65,Mixed,class,anomaly
