parents,has_nurs,form,children,housing,finance,social,health,class
usual,proper,complete,1,convenient,convenient,nonprob,recommended,anomaly
usual,proper,complete,1,convenient,convenient,nonprob,priority,normal
usual,proper,complete,1,convenient,convenient,nonprob,not_recom,normal
usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,anomaly
usual,proper,complete,1,convenient,convenient,slightly_prob,priority,normal
usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,normal
usual,proper,complete,1,convenient,convenient,problematic,recommended,normal
usual,proper,complete,1,convenient,convenient,problematic,priority,normal
usual,proper,complete,1,convenient,convenient,problematic,not_recom,normal
usual,proper,complete,1,convenient,inconv,nonprob,recommended,anomaly
usual,proper,complete,1,convenient,inconv,nonprob,priority,normal
usual,proper,complete,1,convenient,inconv,nonprob,not_recom,normal
usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,anomaly
usual,proper,complete,1,convenient,inconv,slightly_prob,priority,normal
usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,normal
usual,proper,complete,1,convenient,inconv,problematic,recommended,normal
usual,proper,complete,1,convenient,inconv,problematic,priority,normal
usual,proper,complete,1,convenient,inconv,problematic,not_recom,normal
usual,proper,complete,1,less_conv,convenient,nonprob,recommended,anomaly
usual,proper,complete,1,less_conv,convenient,nonprob,priority,normal
usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,normal
usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,anomaly
usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,normal
usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,normal
usual,proper,complete,1,less_conv,convenient,problematic,recommended,normal
usual,proper,complete,1,less_conv,convenient,problematic,priority,normal
usual,proper,complete,1,less_conv,convenient,problematic,not_recom,normal
usual,proper,complete,1,less_conv,inconv,nonprob,recommended,anomaly
usual,proper,complete,1,less_conv,inconv,nonprob,priority,normal
usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,normal
usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,anomaly
usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,normal
usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,normal
usual,proper,complete,1,less_conv,inconv,problematic,recommended,normal
usual,proper,complete,1,less_conv,inconv,problematic,priority,normal
usual,proper,complete,1,less_conv,inconv,problematic,not_recom,normal
usual,proper,complete,1,critical,convenient,nonprob,recommended,anomaly
usual,proper,complete,1,critical,convenient,nonprob,priority,normal
usual,proper,complete,1,critical,convenient,nonprob,not_recom,normal
usual,proper,complete,1,critical,convenient,slightly_prob,recommended,anomaly
usual,proper,complete,1,critical,convenient,slightly_prob,priority,normal
usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,normal
usual,proper,complete,1,critical,convenient,problematic,recommended,normal
usual,proper,complete,1,critical,convenient,problematic,priority,normal
usual,proper,complete,1,critical,convenient,problematic,not_recom,normal
usual,proper,complete,1,critical,inconv,nonprob,recommended,anomaly
usual,proper,complete,1,critical,inconv,nonprob,priority,normal
usual,proper,complete,1,critical,inconv,nonprob,not_recom,normal
usual,proper,complete,1,critical,inconv,slightly_prob,recommended,anomaly
usual,proper,complete,1,critical,inconv,slightly_prob,priority,normal
usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,normal
usual,proper,complete,1,critical,inconv,problematic,recommended,normal
usual,proper,complete,1,critical,inconv,problematic,priority,normal
usual,proper,complete,1,critical,inconv,problematic,not_recom,normal
usual,proper,complete,2,convenient,convenient,nonprob,recommended,anomaly
usual,proper,complete,2,convenient,convenient,nonprob,priority,normal
usual,proper,complete,2,convenient,convenient,nonprob,not_recom,normal
usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,anomaly
usual,proper,complete,2,convenient,convenient,slightly_prob,priority,normal
usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,normal
usual,proper,complete,2,convenient,convenient,problematic,recommended,normal
usual,proper,complete,2,convenient,convenient,problematic,priority,normal
usual,proper,complete,2,convenient,convenient,problematic,not_recom,normal
usual,proper,complete,2,convenient,inconv,nonprob,recommended,anomaly
usual,proper,complete,2,convenient,inconv,nonprob,priority,normal
usual,proper,complete,2,convenient,inconv,nonprob,not_recom,normal
usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,anomaly
usual,proper,complete,2,convenient,inconv,slightly_prob,priority,normal
usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,normal
usual,proper,complete,2,convenient,inconv,problematic,recommended,normal
usual,proper,complete,2,convenient,inconv,problematic,priority,normal
usual,proper,complete,2,convenient,inconv,problematic,not_recom,normal
usual,proper,complete,2,less_conv,convenient,nonprob,recommended,anomaly
usual,proper,complete,2,less_conv,convenient,nonprob,priority,normal
usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,normal
usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,anomaly
usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,normal
usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,normal
usual,proper,complete,2,less_conv,convenient,problematic,recommended,normal
usual,proper,complete,2,less_conv,convenient,problematic,priority,normal
usual,proper,complete,2,less_conv,convenient,problematic,not_recom,normal
usual,proper,complete,2,less_conv,inconv,nonprob,recommended,anomaly
usual,proper,complete,2,less_conv,inconv,nonprob,priority,normal
usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,normal
usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,anomaly
usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,normal
usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,normal
usual,proper,complete,2,less_conv,inconv,problematic,recommended,normal
usual,proper,complete,2,less_conv,inconv,problematic,priority,normal
usual,proper,complete,2,less_conv,inconv,problematic,not_recom,normal
usual,proper,complete,2,critical,convenient,nonprob,recommended,normal
usual,proper,complete,2,critical,convenient,nonprob,priority,normal
usual,proper,complete,2,critical,convenient,nonprob,not_recom,normal
usual,proper,complete,2,critical,convenient,slightly_prob,recommended,normal
usual,proper,complete,2,critical,convenient,slightly_prob,priority,normal
usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,normal
usual,proper,complete,2,critical,convenient,problematic,recommended,normal
usual,proper,complete,2,critical,convenient,problematic,priority,normal
usual,proper,complete,2,critical,convenient,problematic,not_recom,normal
usual,proper,complete,2,critical,inconv,nonprob,recommended,normal
usual,proper,complete,2,critical,inconv,nonprob,priority,normal
usual,proper,complete,2,critical,inconv,nonprob,not_recom,normal
usual,proper,complete,2,critical,inconv,slightly_prob,recommended,normal
usual,proper,complete,2,critical,inconv,slightly_prob,priority,normal
usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,normal
usual,proper,complete,2,critical,inconv,problematic,recommended,normal
usual,proper,complete,2,critical,inconv,problematic,priority,normal
usual,proper,complete,2,critical,inconv,problematic,not_recom,normal
usual,proper,complete,3,convenient,convenient,nonprob,recommended,anomaly
usual,proper,complete,3,convenient,convenient,nonprob,priority,normal
