Dataset,ADFNR,DASOD,GCN,GCN-LOF,NMIGOD,NIEOD
adult,0.1466,0.1535,0.4295,0.1457,0.3199,0.1547
arrhythmia,0.5278,0.5235,0.2874,0.0323,0.2466,0.519
bank,0.29,0.3047,0.3576,0.1572,0.2898,0.2753
bank-full,0.2074,0.2051,0.3869,0.1178,0.4687,0.1921
banknote,0.3611,0.4351,0.7324,0.2392,0.85,0.3333
breast-cancer,0.9213,0.9048,0.8421,0.1159,0.8919,0.8817
car,0.1439,0.1439,0.7755,0.1361,0.7665,0.1439
chess,0.5264,0.5261,0.786,0.3038,0.8923,0.5284
credit,0.5102,0.4783,0.7182,0.2937,0.7322,0.4748
diabetes,0.4367,0.4234,0.093,0.2569,0.36,0.4192
german,0.2449,0.2609,0.2556,0.2129,0.2301,0.2613
glass,0.3471,0.3946,0.5862,0.3333,0.5275,0.3478
horse,0.5775,0.5909,0.4809,0.4932,0.5682,0.5692
iris,0.9524,0.9091,0.9677,0.7619,0.9677,0.9091
mushroom,0.2326,0.3704,0.7171,0.1524,0.7055,0.2093
nursery,0.0497,0.1278,0.8801,0.0589,0.8961,0.0497
parkinsons,0.4375,0.3983,0.5938,0.5867,0.597,0.4211
raisin,0.4857,0.6866,0.5714,0.1538,0.4444,0.64
student-mat,0.2062,0.2166,0.1905,0.1485,0.1455,0.2314
wine,0.6667,0.6835,0.2143,0.3256,0.2759,0.7887
wine-red,0.1512,0.1377,0.0989,0.0965,0.1895,0.1544
wine-white,0.215,0.1721,0.1885,0.132,0.2151,0.2078
yeast,0.5882,0.1379,0.0087,0.0086,0.0086,0.4706
zoo,0.3684,0.5,0.7568,0.2857,0.5098,0.4
Average,0.3998,0.4035,0.4966,0.2312,0.5041,0.3993
