Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.0002822097158059478,0,0,unlabeled
1,0.00043988172546960413,0,0,unlabeled
2,0.0004383605264592916,0,0,unlabeled
3,0.0023348238319158554,0,0,unlabeled
4,0.0012884984025731683,0,0,train
5,0.0023471072781831026,0,0,unlabeled
6,0.0005818905774503946,0,0,train
7,0.0011858383659273386,0,0,unlabeled
8,0.0020999708212912083,0,0,unlabeled
9,0.004662391263991594,0,0,unlabeled
10,6.640056381002069e-05,0,0,unlabeled
11,0.0004934970056638122,0,0,unlabeled
12,0.0005606351769529283,0,0,unlabeled
13,2.0488532754825428e-05,0,0,unlabeled
14,0.9999828338623047,1,1,unlabeled
15,0.000262357119936496,0,0,unlabeled
16,0.002136594383046031,0,0,unlabeled
17,0.0009926074417307973,0,0,unlabeled
18,0.0012624176451936364,0,0,unlabeled
19,0.9994949102401733,1,1,train
20,0.001134055550210178,0,0,unlabeled
21,0.0012124665081501007,0,0,unlabeled
22,3.1378978746943176e-05,0,0,unlabeled
23,4.476068625081098e-06,0,0,unlabeled
24,0.00011376546899555251,0,0,unlabeled
25,0.9997127652168274,1,1,unlabeled
26,0.001751295174472034,0,0,unlabeled
27,0.00031004598713479936,0,0,unlabeled
28,0.0007009648834355175,0,0,unlabeled
29,0.0011085992446169257,0,0,unlabeled
30,0.0007479406194761395,0,0,unlabeled
31,0.0013585924170911312,0,0,unlabeled
32,0.00020612037042155862,0,0,unlabeled
33,4.629984323401004e-05,0,0,unlabeled
34,0.0005572049412876368,0,0,unlabeled
35,0.996512234210968,1,1,unlabeled
36,0.0007769157527945936,0,0,unlabeled
37,0.002282565226778388,0,0,unlabeled
38,0.0023519915994256735,0,0,unlabeled
39,0.9996439218521118,1,1,unlabeled
40,0.9997971653938293,1,1,unlabeled
41,0.00013042708451393992,0,0,val
42,0.00016040136688388884,0,0,unlabeled
43,0.00013259120169095695,0,0,unlabeled
44,0.001973759150132537,0,0,unlabeled
45,0.0009840253042057157,0,0,train
46,0.001380699803121388,0,0,unlabeled
47,0.00041869227425195277,0,0,unlabeled
48,0.0006458326242864132,0,0,unlabeled
49,0.9999237060546875,1,1,unlabeled
50,3.4700507967500016e-05,0,0,unlabeled
51,0.00033471992355771363,0,0,unlabeled
52,0.0015886486507952213,0,0,unlabeled
53,0.0014180701691657305,0,0,unlabeled
54,0.9993358254432678,1,1,unlabeled
55,0.0011912998743355274,0,0,unlabeled
56,0.0012866619508713484,0,0,unlabeled
57,0.00035156510421074927,0,0,unlabeled
58,0.001317450194619596,0,0,unlabeled
59,0.0014673040714114904,0,0,unlabeled
60,0.0021150661632418633,0,0,unlabeled
61,0.0002628102374728769,0,0,unlabeled
62,0.0008224039920605719,0,0,train
63,0.9998857975006104,1,1,unlabeled
64,0.002023948822170496,0,0,unlabeled
65,0.0015102402539923787,0,0,unlabeled
66,0.004829595796763897,0,0,unlabeled
67,0.0022364885080605745,0,0,unlabeled
68,0.985611081123352,1,1,unlabeled
69,0.00218075979501009,0,0,unlabeled
70,0.002188418060541153,0,0,unlabeled
71,0.0002390074951108545,0,0,unlabeled
72,0.001953684724867344,0,0,unlabeled
73,0.0010865916265174747,0,0,unlabeled
74,0.00033491081558167934,0,0,unlabeled
75,0.9988825917243958,1,1,unlabeled
76,0.00634838966652751,0,0,unlabeled
77,0.0008346077520400286,0,0,unlabeled
78,0.0002217432192992419,0,0,unlabeled
79,0.000526615884155035,0,0,unlabeled
80,1.3594061783805955e-05,0,0,unlabeled
81,2.424785452603828e-05,0,0,train
82,0.00015551202523056418,0,0,unlabeled
83,0.0016174436314031482,0,0,unlabeled
84,0.0016440409235656261,0,0,unlabeled
85,0.0026301562320441008,0,0,unlabeled
86,0.0012887186603620648,0,0,val
87,0.001028211321681738,0,0,unlabeled
88,0.001768781105056405,0,0,unlabeled
89,0.9999954700469971,1,1,train
90,0.0021049941424280405,0,0,unlabeled
91,0.9999997615814209,1,1,unlabeled
92,0.999384880065918,1,1,train
93,0.9997683167457581,1,1,unlabeled
94,0.0025216005742549896,0,0,unlabeled
95,0.0040769511833786964,0,0,unlabeled
96,0.0024496105033904314,0,0,unlabeled
97,0.00015734352928120643,0,0,unlabeled
98,0.001476063160225749,0,0,train
99,2.0601759388227947e-05,0,0,unlabeled
100,0.9998294115066528,1,1,unlabeled
101,0.9992085099220276,1,1,unlabeled
102,0.001730580348521471,0,0,unlabeled
